Insolation_Flux,temperature,mass,ra,dec
486.9533952254641,1102,22.2481,53.6511231,20.5990205
8.17,470,14.9,129.6821253,15.6806039
486.9533952254641,2155,68.2,173.2790517,-56.5033871
486.9533952254641,1061,1147.36055,42.2915093,-58.0246828
5.74,431,8.82,230.4401147,-48.3188174
1900.0,1838,3.9,291.3822988,38.1274595
486.9533952254641,1102,111.0,290.4617926,40.5624966
486.9533952254641,1102,400.449,163.1010355,-61.4468591
486.9533952254641,943,31.3,97.7487104,66.3605956
486.9533952254641,1271,371.528,284.2960393,51.2691212
486.9533952254641,1366,7.34184,342.0316493,-14.4947789
3.3,377,196.0,135.0194934,13.2737056
486.9533952254641,1102,310.83618,51.2284214,-73.9575458
486.9533952254641,1102,1197.32317,114.4673065,-62.0782776
486.9533952254641,1371,693.50158,203.509956,53.7281876
486.9533952254641,1102,5.77,130.0266951,19.0923416
486.9533952254641,1102,794.5,295.4179125,51.1847629
486.9533952254641,1102,9.77,292.2945208,40.5918123
2.7,354,2.88,197.9965833,65.8336973
486.9533952254641,1616,176.07694,265.7603351,-65.0082516
43.0,714,254.0,317.9001392,68.4020762
184.8,1028,230.10892,118.4831501,23.9382192
486.9533952254641,1102,5.3,300.864006,44.3375497
486.9533952254641,1750,670.93913,299.4070341,44.0350387
486.9533952254641,872,1017.0509,83.8689794,-14.5971909
1037.0,1616,8.75,228.2482353,-16.7246474
10.0,495,4.3,281.4824731,47.2078263
486.9533952254641,1102,22.1,293.7583002,41.871807
186.0,1027,43.86032,47.5172608,-50.8322632
486.9533952254641,1102,266.9772,94.820735,-4.4222978
137.0,939,624.0,184.9016378,48.6832895
12.8,553,2.22,124.5328604,-68.3144658
486.9533952254641,1100,203.41018,160.8868435,-1.9126984
486.9533952254641,2166,718.2958,268.8907069,-61.7474
486.9533952254641,1102,8.0,297.1150949,41.9091092
486.9533952254641,1102,8.25,288.5308924,40.942373
486.9533952254641,435,109.33352,23.5214497,-14.4191493
486.9533952254641,1102,6.69,152.2182549,69.2766204
486.9533952254641,963,140.16233,282.1001665,79.2564761
486.9533952254641,1102,168.44906,256.8601374,68.8656263
486.9533952254641,1102,519.64945,8.3862555,61.8607659
1150.0,1750,333.71983,339.2050832,16.8271941
310.0,1168,97.57332,21.0651251,32.8107
486.9533952254641,886,15.2,183.4724742,-0.3934357
490.0,1309,5.58,59.8903081,21.2985263
486.9533952254641,1570,778.65,298.3952437,47.8149865
139.0,957,25.1,322.9418092,66.3490054
3.61,384,6.8,23.507315,65.5139877
486.9533952254641,1102,419.5356,354.7740917,42.4659866
486.9533952254641,1012,15.6,297.3330716,41.8911186
10.39,499,2.0,284.0592503,44.5183733
486.9533952254641,1102,43.4,285.5739904,38.4008192
628.0,1488,11.0,146.3970631,-66.6866307
486.9533952254641,1025,75.323,67.2228465,-21.4820568
486.9533952254641,1102,6.86,293.6413146,44.6570692
50.3,742,124.0,266.9231001,47.7050486
441.4,1278,489.45575,292.4588212,62.5291892
486.9533952254641,584,35.0,297.3330716,41.8911186
486.9533952254641,1102,48.30992,289.7917561,39.2852655
486.9533952254641,1102,3.2,286.0363025,49.6145027
486.9533952254641,1102,1430.175,166.9798793,-61.1462496
486.9533952254641,543,55.0,217.3920159,39.7903991
486.9533952254641,1586,4.3,60.7483361,9.2077676
486.9533952254641,701,638.8351,127.882912,11.922255
486.9533952254641,1102,7.92,348.9490311,-10.8497391
486.9533952254641,684,200.2319,259.0172522,72.1611806
486.9533952254641,1253,213.58176,284.3997616,-49.1385126
269.0,1128,256.17098,170.324325,-22.388177
78.37,828,436.69623,149.8236672,-27.3928174
5.01,416,1.94,124.5328604,-68.3144658
486.9533952254641,1166,1144.18227,282.7952558,82.2454143
486.9533952254641,636,743.71847,118.9945352,-52.3548332
486.9533952254641,550,6.7,252.426008,-19.5430504
486.9533952254641,1102,3.55,285.6616933,37.9645672
486.9533952254641,998,4.07,350.0285917,-60.0657292
486.9533952254641,1418,411.27202,303.3818697,65.1623313
486.9533952254641,613,11.02,285.6025889,50.1120401
865.0,1509,13.31,79.621529,1.253439
486.9533952254641,1102,8.1,300.864006,44.3375497
5.07,417,12.9,297.4865503,49.6233975
486.9533952254641,1102,1.84,290.9734395,45.2902761
486.9533952254641,489,5.04,189.8392243,20.0273377
77.0,837,588.0,175.6436366,20.9652921
486.9533952254641,837,15.0,252.426008,-19.5430504
4.82,1102,6.2,284.9410627,46.5664505
185.0,1026,5.2,173.1919022,2.2446794
1.44,305,2.2,172.3353708,-1.4551364
475.0,1299,2.4,299.1604859,41.1437964
503.0,1345,295.5819,328.9759206,-14.0684399
486.9533952254641,759,10.6,185.0628734,56.2014094
486.9533952254641,885,56.64,319.4982407,-22.0498228
558.0,1352,63.88351,288.4656683,66.3479375
1013.0,1570,457.67291,77.612879,70.391079
1.56,1102,123.0,256.8431021,62.475548
486.9533952254641,1153,12.6,183.4724742,-0.3934357
7.07,420,3.0,67.4128615,22.8825674
486.9533952254641,523,21.14,230.4799011,-20.2317975
356.0,1228,131.89945,4.4471631,-66.3589285
486.9533952254641,1102,327.351,160.0598236,-62.4555353
486.9533952254641,1040,73.0,293.3223259,30.7042468
486.9533952254641,1074,228.83,102.1946233,-0.6727861
486.9533952254641,1078,200.22,293.0925275,41.3555095
486.9533952254641,1102,6.93,296.1125759,39.9787451
25.3,624,1830.69162,358.0920465,-53.043156
70.0,805,8.9,13.0800239,10.7947051
387.4,1237,195.14664,269.5720695,5.7613709
729.0,1448,921.707,141.9206435,-19.3476477
486.9533952254641,1102,1582.78547,95.3088995,53.2950203
486.9533952254641,1834,711.9392,140.0875894,-31.2692116
486.9533952254641,1102,1303.0,297.8423073,46.5743595
486.9533952254641,831,57.0,282.7372281,64.419466
223.0,1074,136.66622,39.4297435,80.2673838
40.0,718,88.99195,283.1325335,-78.4344302
486.9533952254641,1180,32.0,166.2695041,11.2464069
486.9533952254641,1102,123.9537,300.4280761,-26.077564
486.9533952254641,1185,34.00764,126.4882114,11.5110933
2.48,352,222.47988,291.653163,44.6882613
486.9533952254641,1102,320.995,167.3279228,-61.0952624
486.9533952254641,811,16.5,14.1142611,48.6375168
486.9533952254641,1700,415.704,102.7211432,-5.0864557
486.9533952254641,1102,153.82972,278.6883216,5.5736911
486.9533952254641,125,53.83,167.7745044,30.4451688
486.9533952254641,2056,664.237,306.1239076,16.7621462
38.6,694,12.4,208.9014508,-6.1360833
486.9533952254641,1102,28.6047,338.3682095,-9.0229405
486.9533952254641,1102,165.2716,195.9818362,30.640145
486.9533952254641,1100,92.17,288.2545808,43.7048379
82.0,1102,9.6,256.1387513,56.842549
4.09,400,408.72733,292.1669417,53.4873694
781.8,1471,117.59651,108.0442066,-10.63934
486.9533952254641,1324,43.86054,294.9416887,-25.7483655
486.9533952254641,1102,3.0,291.3861294,41.9901394
486.9533952254641,1102,11.14,290.4132621,38.3437283
486.9533952254641,500,305.11527,173.714867,-24.6054801
486.9533952254641,403,6.4,297.9168433,46.9651146
486.9533952254641,1000,6.4,280.3266806,70.2900536
111.6,905,4.72,230.4401147,-48.3188174
486.9533952254641,1198,8.7,60.7483361,9.2077676
486.9533952254641,565,127.13136,103.4128333,12.8815784
486.9533952254641,1102,197.05,222.7673221,5.9473626
12.38,523,7.3,348.3372026,57.1696255
699.0,1431,260.61929,87.1880397,32.0840435
486.9533952254641,1626,772.29,278.699236,-6.612288
486.9533952254641,1102,4.07661,100.9561682,-1.0630076
