radius,mass,temperature,Discovery_Method,Discovery_Method_Index,features,rawPrediction,probability,prediction
2.578,22.2481,1102,Transit,0.0,"[2.578,22.2481,1102.0]","[9.877641626602738,0.10081132945485653,0.01483990121647977,0.006707142725925661]","[0.9877641626602738,0.010081132945485653,0.001483990121647977,0.0006707142725925661]",0.0
2.41,14.9,470,Transit,0.0,"[2.41,14.9,470.0]","[9.690222810929107,0.2972787960252598,0.008201131697111222,0.004297261348521537]","[0.9690222810929108,0.02972787960252598,0.0008201131697111221,0.0004297261348521537]",0.0
7.16,68.2,2155,Transit,0.0,"[7.16,68.2,2155.0]","[9.903113204810696,0.07695900630156961,0.01627875013734308,0.003649038750390492]","[0.9903113204810697,0.0076959006301569625,0.0016278750137343082,0.0003649038750390493]",0.0
12.173,1147.36055,1061,Transit,0.0,"[12.173,1147.36055,1061.0]","[9.831656369078761,0.15402895301772168,0.011904796526112196,0.0024098813774041227]","[0.9831656369078761,0.015402895301772168,0.0011904796526112196,0.00024098813774041226]",0.0
2.562,8.82,431,Radial Velocity,1.0,"[2.562,8.82,431.0]","[7.914406837489159,2.077931574777218,0.004603483758087117,0.0030581039755351682]","[0.791440683748916,0.20779315747772178,0.0004603483758087117,0.0003058103975535168]",0.0
1.381,3.9,1838,Transit,0.0,"[1.381,3.9,1838.0]","[9.826057441158248,0.14618540573630892,0.002188183807439825,0.0255689692980014]","[0.9826057441158248,0.014618540573630892,0.00021881838074398248,0.00255689692980014]",0.0
2.89,111.0,1102,Transit,0.0,"[2.89,111.0,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
12.251,400.449,1102,Transit,0.0,"[12.251,400.449,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
5.342,31.3,943,Transit,0.0,"[5.342,31.3,943.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
13.204,371.528,1271,Transit,0.0,"[13.204,371.528,1271.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
