Discovery_Facility,Discovery_Method,count
Next-Generation Transit Survey (NGTS),Transit,21
K2,Transit,112
OGLE,Transit,7
Las Campanas Observatory,Radial Velocity,1
Kepler,Orbital Brightness Modulation,1
Haute-Provence Observatory,Radial Velocity,3
SuperWASP,Transit,97
XO,Transit,4
Cerro Tololo Inter-American Observatory,Transit,1
CoRoT,Transit,31
HATSouth,Transit,61
Qatar,Transit,9
Multiple Observatories,Radial Velocity,4
W. M. Keck Observatory,Radial Velocity,4
KELT,Transit,6
Kepler,Transit,215
Multiple Facilities,Transit,2
Subaru Telescope,Radial Velocity,2
La Silla Observatory,Radial Velocity,5
Transiting Exoplanet Survey Satellite (TESS),Transit Timing Variations,1
Paranal Observatory,Radial Velocity,2
United Kingdom Infrared Telescope,Transit,2
Multiple Observatories,Transit,10
SuperWASP-South,Transit,29
KELT-South,Transit,2
WASP-South,Transit,10
Roque de los Muchachos Observatory,Radial Velocity,3
Calar Alto Observatory,Radial Velocity,1
HATNet,Transit,56
Haleakala Observatory,Transit,2
Paranal Observatory,Transit,1
Anglo-Australian Telescope,Transit,1
Transiting Exoplanet Survey Satellite (TESS),Transit,405
McDonald Observatory,Radial Velocity,1
Lowell Observatory,Transit,1
SuperWASP-North,Transit,5
KELT-North,Transit,3
Acton Sky Portal Observatory,Transit,1
La Silla Observatory,Transit,1
TrES,Transit,5
European Space Agency (ESA) Gaia Satellite,Transit,2
