semi_major_axis,temperature,Default_Flag
0.11312557679914084,1102,1
0.2573,470,1
0.0249,2155,1
0.1291,1061,1
0.425,431,1
0.02778,1838,1
0.11312557679914084,1102,1
0.02289,1102,1
0.045,943,1
0.0379,1271,1
0.03359,1366,1
0.1208,377,1
0.09564,1102,1
0.3569,1102,1
0.0701,1371,1
0.11312557679914084,1102,1
0.37,1102,1
0.11312557679914084,1102,1
0.1047,354,1
0.047,1616,1
0.02949,714,1
0.02996,1028,1
0.11312557679914084,1102,1
0.0538,1750,1
0.02065,872,1
0.047,1616,1
0.1656,495,1
0.1028,1102,1
0.1528,1027,1
0.0586,1102,1
0.0272,939,1
0.0304,553,1
0.073,1100,1
0.0238,2166,1
0.195,1102,1
0.11312557679914084,1102,1
0.201,435,1
0.11312557679914084,1102,1
0.0407,963,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.036,1750,1
0.05042,1168,1
0.1536,886,1
0.0565,1309,1
0.02591,1570,1
0.071,957,1
0.0377,384,1
0.11312557679914084,1102,1
0.1013,1012,1
0.2109,499,1
0.143,1102,1
0.04271,1488,1
0.0542,1025,1
0.11312557679914084,1102,1
0.03379,742,1
0.05064,1278,1
0.3046,584,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.0308,1102,1
0.142,543,1
0.0443,1586,1
0.0944,701,1
0.05893,1102,1
0.249,684,1
0.04131,1253,1
0.06112,1128,1
0.03607,828,1
0.0486,416,1
0.0892,1166,1
0.327,636,1
0.18422,550,1
0.11312557679914084,1102,1
0.0208,998,1
0.02332,1418,1
0.11312557679914084,613,1
0.0482,1509,1
0.11312557679914084,1102,1
0.3554,417,1
0.11312557679914084,1102,1
0.2163,489,1
0.0272,837,1
0.0795,837,1
0.11312557679914084,1102,1
0.0792,1026,1
0.2014,305,1
0.0758,1299,1
0.035,1345,1
0.085,759,1
0.0471,885,1
0.0672,1352,1
0.05222,1570,1
0.847,1102,1
0.0907,1153,1
0.1538,420,1
0.15224,523,1
0.1097,1228,1
0.051,1102,1
0.114,1040,1
0.09,1074,1
0.0781,1078,1
0.0648,1102,1
0.05263,624,1
0.1083,805,1
0.04294,1237,1
0.058,1448,1
0.641,1102,1
0.02498,1834,1
0.05,1102,1
0.0291,831,1
0.04823,1074,1
0.1515,718,1
0.073,1180,1
0.05046,1102,1
0.0986,1185,1
0.751,352,1
0.051,1102,1
0.065,811,1
0.051,1700,1
0.0603,1102,1
1.4,125,1
0.0232,2056,1
0.0662,694,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.091,1100,1
0.14,1102,1
0.5516,400,1
0.0475,1471,1
0.04667,1324,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.408,500,1
0.676,403,1
0.11312557679914084,1000,1
0.0964,905,1
0.076,1198,1
0.052,565,1
0.04,1102,1
0.1463,523,1
0.04145,1431,1
0.0461,1626,1
0.11312557679914084,1102,1
0.05036,1294,1
0.04515,835,1
0.145,641,1
0.0731,650,1
0.0657,651,1
0.05741,1102,1
0.213,475,1
0.04944,1003,1
0.0653,782,1
0.18041,501,1
0.128,917,1
0.04871,1091,1
0.048,1102,1
0.0544,1102,1
0.0458,1431,1
0.132,588,1
0.173,1102,1
0.01589,773,1
0.10207,638,1
0.11312557679914084,1102,1
0.098,633,1
0.328,415,1
0.03199,2037,1
0.04269,853,1
0.11312557679914084,1102,1
0.0994,1102,1
0.04749,557,1
0.305,676,1
0.05714,1102,1
0.0752,1102,1
0.11312557679914084,1102,1
0.0491,1102,1
0.0592,690,1
0.0943,493,1
0.332,441,1
0.0486,1586,1
0.04461,1102,1
0.08377,1173,1
2.026,206,1
0.11312557679914084,1102,1
0.0434,2015,1
0.812,279,1
0.313,688,1
0.1275,470,1
0.1546,859,1
0.11312557679914084,1102,1
0.249,513,1
0.01714,696,1
0.0611,1659,1
0.03261,1102,1
0.02288,1328,1
0.11312557679914084,1102,1
0.0236,1357,1
0.137,638,1
0.056,1070,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.02933,709,1
0.0474,1513,1
1.883,134,1
0.11312557679914084,1102,1
0.173,615,1
0.371,306,1
0.01189,1617,1
0.04913,1085,1
0.269,470,1
0.05174,966,1
0.05983,1372,1
0.0274,2140,1
0.019,1517,1
0.04599,981,1
0.1776,564,1
0.3474,430,1
0.0456,1650,1
0.0549,1211,1
0.061,326,1
0.411,506,1
0.107,1102,1
0.11312557679914084,1102,1
0.08,708,1
0.0478,1823,1
0.071,754,1
0.03385,1102,1
0.11312557679914084,1102,1
0.02897,1850,1
0.0505,1596,1
0.11312557679914084,1102,1
0.06152,784,1
0.472,300,1
0.111,1363,1
0.03197,581,1
0.241,578,1
0.137,297,1
0.0322,584,1
0.11312557679914084,1102,1
0.0362,1315,1
0.90281,1102,1
0.027,1952,1
0.0174,2069,1
0.0673,920,1
0.05186,1037,1
0.0122,1694,1
0.02793,890,1
0.01661,2463,1
0.0683,695,1
0.0561,1728,1
0.11312557679914084,682,1
0.0569,1205,1
0.13,990,1
0.11312557679914084,1102,1
0.427,270,1
0.0474,1680,1
0.051,952,1
0.048,2410,1
0.1288,345,1
0.0549,1605,1
0.0575,1428,1
0.301,1102,1
0.06135,1275,1
0.1363,284,1
0.04997,2101,1
0.1086,1036,1
0.111,716,1
0.11312557679914084,1102,1
0.828,348,1
0.03623,713,1
0.7903,1102,1
0.063,1468,1
0.0675,1264,1
0.0447,1102,1
0.047,2360,1
0.11312557679914084,1102,1
0.0571,1456,1
0.0361,441,1
0.0723,1180,1
0.018288,708,1
0.00936,2223,1
0.11312557679914084,1102,1
0.03783,1681,1
0.0374,1203,1
0.0793,800,1
0.093,795,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.0783,600,1
0.0367,871,1
0.05649,1000,1
0.058,907,1
0.01808,694,1
0.11312557679914084,1102,1
0.0448,1381,1
0.03144,1488,1
0.1915,422,1
0.063,558,1
0.11312557679914084,1102,1
1.0896,1102,1
0.0441,1146,1
0.04117,818,1
0.13223,973,1
0.0701,1276,1
0.11312557679914084,1102,1
0.05727,1241,1
0.05593,1772,1
0.0189,1035,1
0.02658,940,1
0.11312557679914084,1102,1
0.127,781,1
0.2621,440,1
0.11312557679914084,1102,1
0.0464,1102,1
0.03734,1102,1
0.147,521,1
0.036,1603,1
0.03745,587,1
0.032742,772,1
0.1511,1102,1
0.02044,2453,1
0.02383,2212,1
0.05354,1531,1
0.04438,1686,1
0.1207,974,1
0.061,862,1
0.03515,1397,1
0.0831,1080,1
0.0695,701,1
0.11312557679914084,1102,1
0.04389,962,1
0.11312557679914084,1102,1
0.0583,1710,1
0.04518,1123,1
0.11312557679914084,1102,1
0.0607,1387,1
0.4021,420,1
0.1721,677,1
0.2958,546,1
0.04899,1066,1
0.133,722,1
0.066,1567,1
0.0434,1384,1
0.1039,699,1
0.0287,703,1
0.04469,1458,1
0.5,1102,1
0.12,510,1
0.117,1102,1
0.11312557679914084,1102,1
0.0914,1198,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.06007,1645,1
0.11312557679914084,1102,1
0.0792,1102,1
0.092,885,1
0.262,385,1
0.7048,1102,1
0.11312557679914084,1102,1
1.137,363,1
0.049,955,1
0.0532,847,1
0.04978,1102,1
0.01306,1515,1
0.07908,1226,1
0.1178,620,1
0.0696,868,1
0.07037,1404,1
0.073,1100,1
0.05064,1802,1
0.0413,1626,1
0.39,1102,1
0.0485,1648,1
0.03493,1413,1
0.11312557679914084,1102,1
0.01195,903,1
0.019,1650,1
0.01714,1722,1
0.05475,1212,1
0.08618,686,1
0.06067,1630,1
0.04127,1415,1
0.0622,1102,1
0.0711,919,1
0.11312557679914084,615,1
0.11312557679914084,1102,1
0.0391,1457,1
0.03587,1102,1
0.106,373,1
0.1785,533,1
0.11312557679914084,1102,1
0.509,381,1
0.0523,1177,1
0.0376,1285,1
0.053,675,1
0.1053,1102,1
0.11312557679914084,1102,1
0.718,208,1
0.02398,1701,1
0.04354,1414,1
0.04024,1437,1
0.1357,881,1
0.101,347,1
0.0635,1445,1
0.034,675,1
0.0384,963,1
0.03101,1790,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.0749,696,1
0.0813,801,1
0.1752,600,1
0.1162,543,1
0.04726,1212,1
0.0301,1841,1
0.06702,902,1
0.382,511,1
0.11312557679914084,1102,1
0.0503,979,1
0.0884,800,1
0.1035,538,1
0.0403,1143,1
0.0496,1005,1
0.0106,2310,1
0.072,886,1
0.4632,475,1
0.387,440,1
0.0618,1102,1
0.0295,1550,1
0.049,1311,1
0.11312557679914084,1102,1
0.1206,871,1
0.03845,759,1
0.0177,2038,1
0.0959,949,1
0.753,388,1
0.4,1102,1
0.11312557679914084,1102,1
0.09008,1052,1
0.386,1102,1
0.055,1890,1
0.23109,1102,1
0.11312557679914084,1102,1
0.3,1102,1
0.481,478,1
0.11312557679914084,1102,1
0.0854,1259,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.05343,1133,1
0.04882,1927,1
0.04012,1084,1
0.11312557679914084,1102,1
0.0523,1082,1
0.03159,1778,1
0.03772,1512,1
0.11312557679914084,722,1
0.0296,867,1
0.035,1371,1
0.13,795,1
0.058,1669,1
0.11312557679914084,1102,1
0.0116,2130,1
0.118,705,1
0.0578,1330,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.04501,1440,1
0.0638,1213,1
0.04363,1896,1
0.11312557679914084,751,1
0.25,1102,1
0.11312557679914084,1102,1
0.3553,1102,1
0.0769,1102,1
0.0554,922,1
0.097,1370,1
0.0787,1060,1
0.0414,1300,1
0.0679,1776,1
0.052,1077,1
0.0467,1102,1
0.02061,1842,1
0.60347,1102,1
0.139,615,1
0.01138,1062,1
0.073,1648,1
0.0436,1657,1
0.02732,2130,1
0.652,481,1
0.033548,698,1
0.0157,584,1
0.11312557679914084,494,1
0.0577,1458,1
0.05163,1277,1
0.148,620,1
