System_Distance_PC,Star_Mass_Solar,temperature
179.461,1.67,1102
162.481,0.88,470
485.219,1.29,2155
402.63,1.35,1061
14.682,0.87,431
454.883,1.01,1838
1366.07,0.98,1102
566.459,0.78,1102
124.68,0.85,943
390.594,0.93,1271
138.671,0.9,1366
268.685,0.56,377
235.933,0.82,1102
342.605,0.89,1102
92.2589,1.22,1371
79.3002,0.33,1102
1011.36,1.39,1102
311.222,0.61,1102
36.0118,0.43,354
285.895,1.04,1616
117.992,0.51,714
202.152,0.68,1028
444.322,1.0,1102
899.777,1.37,1750
90.5369,0.56,872
321.296,1.05,1616
107.796,0.8,495
912.994,1.32,1102
76.9028,1.41,1027
2005.76,1.25,1102
390.415,0.67,939
10.6194,0.27,553
438.842,1.01,1100
494.182,1.07,2166
646.346,0.96,1102
228.678,1.02,1102
190.422,0.86,435
39.6345,0.63,1102
118.106,0.74,963
383.846,1.34,1102
603.119,1.55,1102
220.882,1.31,1750
440.089,0.96,1168
109.353,1.09,886
200.394,0.84,1309
720.753,1.04,1570
201.918,0.99,957
32.1755,0.21,384
275.358,1.79,1102
477.052,1.28,1012
63.9207,0.79,499
628.257,1.02,1102
175.713,1.08,1488
246.384,0.94,1025
644.14,0.86,1102
226.318,0.6,742
265.471,1.01,1278
477.052,1.28,584
349.247,0.94,1102
338.368,1.0,1102
1627.63,1.52,1102
41.9091,0.86,543
45.6181,1.25,1586
475.758,0.86,701
202.585,0.94,1102
168.067,1.21,684
535.383,0.93,1253
642.884,1.04,1128
436.176,0.66,828
10.6194,0.27,416
335.985,1.2,1166
296.271,1.11,636
157.682,0.83,550
350.315,0.99,1102
25.1496,0.61,998
185.615,0.84,1418
290.324,0.68,613
112.958,1.05,1509
444.322,1.0,1102
155.956,0.89,417
765.025,0.93,1102
32.1585,0.8,489
306.144,0.56,837
157.682,0.83,837
335.307,0.54,1102
326.381,0.96,1026
44.0727,0.55,305
259.935,1.19,1299
428.976,0.89,1345
107.055,0.88,759
134.655,0.75,885
504.775,1.13,1352
334.993,1.31,1570
95.2016,1.1,1102
109.353,1.09,1153
59.2474,0.74,420
67.5062,0.79,523
79.5702,1.32,1228
1515.26,1.33,1102
192.475,1.23,1040
726.412,1.16,1074
1177.55,1.18,1078
369.451,0.73,1102
211.247,0.65,624
244.59,0.95,805
403.458,0.93,1237
609.128,1.34,1448
324.448,1.27,1102
555.134,1.11,1834
323.847,0.58,1102
99.5561,0.58,831
205.387,0.91,1074
329.304,1.0,718
130.919,1.1,1180
756.742,1.17,1102
518.625,1.25,1185
657.223,1.12,352
2501.75,1.14,1102
121.84,0.92,811
1148.93,1.09,1700
766.183,1.01,1102
11.8893,0.65,125
364.813,1.13,2056
107.518,0.71,694
307.47,0.66,1102
240.726,1.42,1102
1017.8,0.96,1100
103.297,1.1,1102
109.19,1.11,400
460.995,1.14,1471
794.637,1.06,1324
304.645,1.08,1102
1156.81,1.06,1102
238.377,0.94,500
1232.9,1.1,403
147.476,0.91,1000
14.682,0.87,905
45.6181,1.25,1198
148.762,0.53,565
199.173,0.92,1102
6.53127,0.81,523
361.857,1.06,1431
1176.12,1.04,1626
159.906,0.82,1102
343.525,0.89,1294
324.413,0.71,835
67.5478,0.94,641
58.2609,0.74,650
73.5977,0.68,651
99.523,1.04,1102
59.2293,0.83,475
362.273,0.84,1003
6.53127,0.81,782
154.961,0.83,501
198.007,1.18,917
219.614,0.95,1091
38.5653,0.86,1102
788.238,1.45,1102
454.883,1.01,1431
169.422,0.89,588
86.3501,1.41,1102
27.3644,0.36,773
116.474,0.74,638
139.268,0.56,1102
32.5686,0.78,633
85.799,0.81,415
514.555,1.32,2037
300.67,0.67,853
1025.1,1.04,1102
215.986,1.31,1102
10.0055,0.44,557
272.909,1.19,676
739.412,1.02,1102
433.047,0.97,1102
835.756,1.08,1102
369.451,0.73,1102
62.699,0.65,690
20.1852,0.62,493
348.849,0.89,441
178.68,1.31,1586
202.585,0.94,1102
525.997,1.24,1173
568.117,1.01,206
287.339,1.12,1102
108.522,1.41,2015
194.642,0.86,279
382.898,1.47,688
62.699,0.65,470
474.861,1.09,859
832.532,0.76,1102
165.393,0.91,513
8.07426,0.31,696
816.988,1.42,1659
90.0562,0.93,1102
109.749,0.79,1328
459.223,0.99,1102
592.891,0.72,1357
111.059,0.86,638
591.555,0.91,1070
313.576,1.45,1102
19.7638,0.79,1102
10.0055,0.44,709
927.981,1.17,1513
341.908,0.78,134
1366.07,0.98,1102
146.858,1.04,615
22.6202,0.74,306
47.3924,0.74,1617
211.896,0.84,1085
67.5478,0.94,470
154.83,0.82,966
513.877,1.11,1372
822.96,1.2,2140
55.0135,0.8,1517
202.078,0.81,981
47.2899,0.84,564
282.563,0.93,430
487.916,1.22,1650
177.118,1.06,1211
30.5212,0.25,326
139.611,1.26,506
646.346,0.96,1102
88.7832,1.08,1102
149.234,0.92,708
773.974,1.27,1823
41.1706,0.85,754
202.585,0.94,1102
444.322,1.0,1102
1086.24,1.17,1850
389.916,1.12,1596
704.438,1.08,1102
68.0726,0.75,784
126.46,0.9,300
224.731,1.72,1363
22.4793,0.39,581
185.506,0.91,578
41.9176,0.44,297
31.0597,0.41,584
277.278,1.24,1102
416.459,1.0,1315
250.956,1.24,1102
1744.6,1.13,1952
624.368,1.04,2069
68.192,0.9,920
111.059,0.86,1037
42.5775,0.8,1694
191.51,0.64,890
109.86,1.18,2463
61.8736,0.71,695
281.314,1.35,1728
24.7399,0.34,682
350.343,1.06,1205
321.296,1.05,990
287.339,1.12,1102
300.874,0.69,270
1021.87,1.21,1680
168.735,0.9,952
379.253,1.33,2410
66.8624,0.54,345
647.595,1.3,1605
405.238,1.18,1428
848.023,1.32,1102
144.166,1.06,1275
42.409,0.45,284
1342.29,1.56,2101
213.283,1.11,1036
68.192,0.9,716
208.369,0.79,1102
116.685,1.11,348
169.318,0.57,713
442.846,0.94,1102
356.391,1.64,1468
277.899,1.19,1264
433.047,0.97,1102
388.227,1.38,2360
141.837,1.12,1102
566.189,1.22,1456
43.1448,0.3,441
233.266,1.03,1180
35.8256,0.38,708
152.509,0.8,2223
1633.49,1.14,1102
735.601,1.15,1681
114.865,0.96,1203
32.1585,0.8,800
101.694,0.94,795
444.322,1.0,1102
306.738,0.88,1102
62.699,0.65,600
73.5977,0.68,871
210.915,0.9,1000
177.504,0.88,907
80.1423,0.34,694
704.438,1.08,1102
1096.19,1.0,1381
217.193,1.02,1488
16.32,0.73,422
94.0424,0.57,558
262.351,0.75,1102
1800.82,1.05,1102
786.485,0.99,1146
143.651,0.65,818
494.832,1.21,973
474.861,1.09,1276
1156.81,1.06,1102
62.7792,1.1,1241
609.388,1.39,1772
29.661,0.62,1035
385.689,0.66,940
396.379,1.18,1102
36.578,1.03,781
32.1585,0.8,440
228.678,1.02,1102
773.409,0.87,1102
747.959,0.69,1102
85.8034,0.77,521
597.873,1.07,1603
140.225,0.49,587
194.964,0.6,772
395.398,0.85,1102
444.586,1.21,2453
341.24317438112206,0.9801774622892632,2212
417.365,1.14,1531
320.451,0.9801774622892632,1686
306.063,1.03,974
169.422,0.89,862
236.705,0.96,1397
557.733,1.12,1080
16.32,0.73,701
289.827,0.88,1102
128.23,0.82,962
464.469,1.03,1102
737.668,1.5,1710
68.192,0.9,1123
536.046,1.32,1102
344.045,1.16,1387
412.98,0.96,420
14.682,0.87,677
62.7792,1.1,546
157.682,0.83,1066
77.682,0.94,722
925.958,1.32,1567
401.319,1.02,1384
32.1585,0.8,699
37.8871,0.51,703
301.676,1.18,1458
914.221,0.99,1102
300.874,0.69,510
1020.72,1.17,1102
400.907,0.94,1102
342.831,1.13,1198
27.9956,0.57,1102
717.128,1.54,1102
765.025,0.93,1102
878.521,1.38,1645
1025.1,1.04,1102
369.451,0.73,1102
627.158,1.1,885
36.9941,0.83,385
75.0852,0.69,1102
335.307,0.54,1102
822.134,1.26,363
169.422,0.87,955
37.7647,0.86,847
506.965,1.24,1102
77.5586,0.69,1515
679.761,1.08,1226
154.961,0.83,620
132.353,0.91,868
336.267,1.35,1404
88.9482,1.04,1100
303.006,1.52,1802
226.637,1.22,1626
408.845,1.18,1102
411.211,1.21,1648
279.485,1.03,1413
321.542,0.54,1102
21.9814,0.38,903
280.555,0.75,1650
300.141,0.86,1722
353.891,1.03,1212
107.796,0.8,686
922.562,1.36,1630
367.658,1.13,1415
555.546,1.17,1102
109.557,0.96,919
82.857,0.8,615
134.554,1.06,1102
1040.28,1.02,1457
139.484,1.31,1102
51.9503,0.47,373
32.1585,0.8,533
832.532,0.76,1102
783.831,1.04,381
898.168,1.0,1177
111.276,0.99,1285
29.661,0.62,675
107.898,1.15,1102
134.058,1.54,1102
300.874,0.69,208
176.833,0.99,1701
342.14,1.09,1414
745.116,1.1,1437
139.611,1.26,881
41.9176,0.44,347
373.675,1.15,1445
162.229,0.54,675
142.751,0.73,963
1093.08,1.15,1790
1002.53,0.98,1102
35.2736,0.45,1102
80.5407,0.79,696
176.436,0.87,801
53.6089,0.81,600
39.0341,0.67,543
82.3432,1.08,1212
188.959,1.15,1841
249.645,0.87,902
341.24317438112206,0.99,511
321.542,0.54,1102
59.2293,0.83,979
85.799,0.81,800
77.5586,0.69,538
322.148,0.9,1143
172.138,0.9,1005
85.799,0.81,2310
22.4035,0.99,886
1174.59,0.94,475
138.411,0.93,440
732.409,1.1,1102
764.889,0.95,1550
45.683,1.02,1311
79.3002,0.33,1102
101.321,0.99,871
181.139,0.64,759
232.1,0.96,2038
192.69,1.05,949
397.292,1.2,388
1664.64,1.21,1102
644.14,0.86,1102
144.166,1.06,1052
1020.72,1.17,1102
364.715,1.31,1890
202.585,0.94,1102
99.1596,1.44,1102
914.221,0.99,1102
1232.9,1.1,478
302.819,1.47,1102
373.345,1.3,1259
835.756,1.08,1102
575.581,0.91,1102
95.9115,0.91,1133
229.067,1.51,1927
240.707,0.85,1084
835.756,1.08,1102
255.206,0.89,1082
666.802,1.09,1778
348.815,1.02,1512
22.4467,0.48,722
135.047,0.64,867
106.307,1.0,1371
114.293,1.0,795
411.719,1.44,1669
865.73,1.08,1102
125.463,0.95,2130
193.499,0.95,705
1103.48,1.09,1330
170.562,1.07,1102
136.681,1.76,1102
639.411,0.95,1440
284.388,1.07,1213
935.456,1.25,1896
21.5618,0.85,751
646.346,0.96,1102
527.956,1.03,1102
847.536,0.82,1102
268.041,1.0,1102
74.7969,0.83,922
179.366,1.14,1370
58.5146,1.09,1060
843.695,0.91,1300
1878.31,1.46,1776
82.1733,0.94,1077
209.229,1.0,1102
82.3432,1.08,1842
1819.17,0.89,1102
63.9207,0.79,615
37.6153,0.45,1062
629.161,1.48,1648
655.037,1.27,1657
155.317,1.04,2130
1033.16,1.53,481
45.1309,0.51,698
12.613,0.19,584
30.6796,0.56,494
290.736,1.28,1458
471.158,0.99,1277
48.9739,0.94,620
323.847,0.58,1102
646.647,0.93,1070
308.262,0.77,1284
58.2609,0.74,825
806.507,0.97,1102
493.32,1.26,1634
31.5666,0.73,714
256.011,1.07,1022
281.498,1.03,1457
213.771,0.72,1134
96.2338,0.82,895
259.947,1.03,1860
527.789,1.03,1358
645.294,1.05,1017
244.59,0.95,2300
154.961,0.83,741
758.753,0.85,1605
329.036,0.9,1385
139.49,1.01,727
170.562,1.07,1102
381.949,0.59,1000
107.898,1.15,1102
23.606,0.8,743
120.311,0.55,447
433.047,0.97,1102
282.563,0.93,681
628.257,1.02,1102
272.909,1.19,1230
157.682,0.83,634
408.845,1.18,1102
200.492,1.46,1679
788.317,1.53,1102
177.504,0.88,1441
320.639,1.42,1102
47.2899,0.84,1774
137.572,0.88,975
72.7512,0.79,1237
79.6682,1.25,675
63.6796,0.9,2141
646.346,0.96,1102
410.607,0.84,243
207.891,0.97,1040
130.855,1.15,1242
787.909,0.95,1898
121.971,0.97,804
12.0445,0.41,940
48.3016,1.23,1102
147.476,0.91,1400
81.2271,1.03,603
148.987,1.03,414
211.553,1.27,1102
314.995,1.26,1759
341.24317438112206,0.7,1332
355.683,0.95,1588
192.516,1.0,1102
1435.44,0.92,1102
200.273,0.93,592
494.818,1.12,1893
2305.01,1.48,1620
508.686,1.04,860
261.834,1.19,904
20.3167,0.35,1102
738.519,1.3,1818
1455.57,1.13,704
1633.49,1.14,1102
68.0726,0.75,634
61.4592,0.6,1323
79.7634,0.52,582
1126.37,1.08,1442
1477.98,1.41,1998
39.0341,0.67,467
96.5173,1.27,1391
501.574,0.9,475
128.438,0.63,378
372.632,1.32,1401
65.9501,0.93,702
459.223,0.99,1102
218.562,0.94,851
319.036,1.22,1278
226.671,0.95,1005
697.004,1.4,1752
22.4035,0.99,622
887.064,0.86,785
185.506,0.91,2188
777.06,0.9,543
486.474,1.1,1528
32.1585,0.8,602
455.82,1.36,1102
421.855,0.96,1244
196.852,1.43,2061
663.834,1.64,2090
321.376,1.52,2085
527.956,1.03,1102
1222.54,1.2,1000
60.798,0.65,767
54.5306,1.28,1199
213.985,1.55,1102
6.53127,0.81,410
282.563,0.93,1187
306.738,0.88,1102
91.9362,1.0,723
576.683,1.08,938
203.896,0.73,798
262.351,0.75,1102
92.3831,0.99,1102
623.232,0.93,1398
57.5846,1.13,943
62.4491,0.8,753
61.8736,0.71,2103
188.404,1.11,1377
698.646,1.01,1102
194.033,0.98,1102
445.656,1.08,1102
262.041,1.45,3646
22.0337,0.43,458
516.087,1.25,1295
74.7969,0.83,635
1020.72,1.17,1102
248.427,1.23,1486
407.84,1.15,1715
75.8643,1.42,1102
175.713,1.08,1038
313.996,0.99,799
390.484,1.24,906
113.335,0.94,652
299.89,1.03,894
80.6665,1.16,798
31.5666,0.73,498
210.252,1.96,1102
107.796,0.8,590
71.6456,0.84,424
22.6202,0.74,666
1060.97,1.14,1660
400.331,1.13,814
364.03,1.07,1102
154.961,0.83,1089
18.2276,0.24,595
248.504,1.04,1375
71.0374,0.76,970
609.838,1.2,1367
48.0883,1.07,2128
202.585,0.94,1102
1005.84,1.32,1620
111.059,0.86,828
247.054,1.14,1102
199.581,1.0,1714
59.2474,0.74,470
912.994,1.32,1102
559.068,1.16,1955
129.804,1.2,1135
289.668,1.13,1102
79.208,1.09,637
289.827,0.88,1102
155.791,0.97,993
319.632,1.23,605
298.64,1.26,1652
248.46,1.06,1429
585.77,0.96,1312
30.0346,0.37,435
99.451,1.2,1129
262.706,0.89,1459
29.8424,0.5,1102
149.667,0.98,1264
27.6227,0.48,330
41.1166,0.63,999
414.537,0.89,1296
646.346,0.96,1102
1212.45,1.22,1102
686.284,0.87,1070
52.616,0.59,700
338.84,1.0,1505
646.346,0.96,1102
341.24317438112206,1.51,1102
12.5855,0.91,1102
27.9276,0.3,441
272.36,0.92,1102
38.0266,0.36,284
914.221,0.99,1102
835.356,0.91,767
163.678,0.97,1395
62.699,0.65,873
177.504,0.88,650
341.24317438112206,1.29,1102
800.377,1.27,1856
130.72,1.19,1030
396.378,1.2,1534
294.419,1.03,1781
477.052,1.28,806
22.4793,0.39,488
222.663,2.65,1102
1455.57,1.13,984
62.699,0.65,521
465.992,1.09,1512
22.4751,0.52,693
363.66,0.95,1102
67.5062,0.79,790
1188.0,1.12,1544
115.557,0.34,687
20.373,0.38,1102
515.458,1.27,1862
389.57,1.19,1553
376.863,0.99,1102
728.525,0.89,1089
446.442,1.02,1257
51.9503,0.47,734
366.987,1.45,1102
158.979,1.15,1322
341.079,1.56,1102
283.971,0.99,1359
603.955,1.35,1741
728.525,0.89,251
130.091,0.63,690
108.883,0.49,563
364.03,1.07,1102
191.649,1.25,2008
33.3631,0.34,395
446.035,0.86,1161
232.801,0.74,852
525.997,1.24,955
40.0654,0.61,443
112.71,0.53,750
333.042,0.9,1092
969.252,0.95,1102
683.062,1.26,1499
99.5561,0.58,533
757.044,0.97,1592
57.2651,1.0,752
343.863,0.97,295
191.649,1.25,890
882.472,1.0,1438
344.05,1.31,1102
53.6089,0.81,880
53.6089,0.81,540
22.4793,0.39,387
48.9739,0.94,825
327.927,1.13,1534
1045.18,1.09,1600
1032.23,0.98,1102
124.376,0.78,2223
122.881,1.0,1102
491.87,0.97,1400
126.261,0.94,1561
282.563,0.93,828
1020.72,1.17,1102
102.27,0.94,1102
361.155,0.89,1218
115.461,0.7,1103
921.986,1.01,347
304.645,1.08,1102
230.306,1.23,748
123.297,1.31,1388
127.589,0.73,739
587.039,1.21,1460
253.385,1.01,517
85.799,0.81,598
1010.28,1.05,1500
321.296,1.05,752
101.694,0.94,651
44.0727,0.55,372
21.9814,0.38,359
415.135,1.07,2097
341.24317438112206,0.94,1544
1435.44,0.92,1102
604.591,1.21,1198
887.064,0.86,686
229.518,0.76,858
299.389,0.6,895
438.359,0.68,1102
230.869,1.03,916
77.5586,0.69,490
477.052,1.28,1486
704.438,1.08,1102
521.233,0.91,1101
303.336,1.04,1102
67.5062,0.79,1121
865.73,1.08,1102
306.738,0.88,1102
307.318,1.05,388
155.141,0.98,867
338.386,0.89,600
413.591,0.92,696
927.981,1.17,1413
80.4373,0.77,1978
1344.97,1.14,1102
2012.62,1.3,2013
323.265,1.16,1415
99.5561,0.58,673
312.674,0.98,1376
300.384,1.01,1182
347.85,0.94,1108
722.795,1.15,1102
41.9091,0.86,688
90.7402,0.82,805
423.84,1.57,1669
513.011,0.97,1276
95.3906,1.47,1102
139.611,1.26,585
33.2673,1.25,460
192.69,1.05,1310
1666.69,1.09,1102
306.779,0.66,952
377.483,0.74,783
575.581,0.91,1102
165.105,0.84,1479
296.46,1.23,1580
78.0863,1.41,1102
41.9091,0.86,458
130.855,1.15,947
213.26,1.03,938
68.173,0.91,438
1074.95,1.01,1327
73.3345,0.37,426
57.0225,0.39,531
62.7792,1.1,931
289.827,0.88,1102
86.4493,0.39,737
1139.55,0.87,1505
28.2938,0.82,582
178.475,0.94,1171
181.374,0.74,1344
285.584,1.13,1102
24.7399,0.34,338
62.699,0.65,1040
197.906,0.78,899
508.842,0.95,1445
44.8155,0.9,1001
44.9565,0.26,494
158.335,1.06,804
109.749,0.79,854
783.831,1.04,543
6.86929,0.26,508
113.825,1.32,759
395.398,0.85,1102
173.117,1.06,1395
263.609,0.73,955
523.067,0.9,1237
1664.64,1.21,1102
743.972,1.02,1102
32.4778,0.6,976
222.852,0.88,1871
202.585,0.94,1102
218.121,0.62,790
942.122,1.07,1783
100.848,0.82,1006
64.9172,0.26,489
32.5686,0.78,1862
216.056,0.89,191
213.283,0.96,1102
29.4214,0.54,594
66.4711,1.15,1102
311.222,0.61,1102
783.831,1.04,439
169.422,0.89,464
249.325,1.39,1102
44.0727,0.55,501
453.808,0.92,1054
107.518,0.71,913
1294.69,1.31,2040
191.904,0.81,1102
198.473,1.12,1188
275.265,1.12,1443
72.811,0.39,604
138.367,0.61,689
748.585,1.05,1429
537.963,1.19,1587
44.647,0.92,1269
31.0597,0.41,368
415.344,1.37,1102
403.591,1.46,1721
59.2474,0.74,610
21.8182,0.16,412
47.3444,0.34,512
328.802,1.24,1472
511.388,1.03,1367
132.345,1.16,1089
396.379,1.18,1102
1093.69,0.96,1331
336.608,1.51,1494
772.11,1.27,1518
44.8155,0.9,642
609.818,1.08,1102
525.997,1.24,1592
152.892,0.95,918
72.8871,1.09,694
355.59,1.34,1688
591.555,0.91,850
161.4,0.77,852
6.53127,0.81,1015
95.5483,1.21,1102
110.527,0.91,1102
233.237,0.9,650
81.7647,1.13,1102
347.917,0.96,962
304.645,1.08,1102
1025.1,1.04,1102
369.451,0.73,1102
36.0118,0.43,425
494.832,1.21,434
438.359,0.68,1102
534.889,1.1,1407
161.498,1.72,2132
1044.36,0.65,1102
29.661,0.62,716
12.21,0.24,315
868.477,0.83,1102
179.147,1.29,1439
322.037,0.88,1102
233.22,1.44,1772
835.455,1.13,254
969.252,0.95,1102
73.5977,0.68,499
59.4314,0.88,529
421.745,1.18,1646
558.141,1.24,1633
790.663,1.21,2000
11.8893,0.65,309
350.351,2.22,1102
35.26,1.2,911
300.874,0.69,750
93.7345,1.08,806
168.067,1.21,1062
15.8095,0.31,568
455.203,1.28,1540
189.875,1.03,703
189.011,0.61,725
67.6203,1.03,1075
391.537,1.03,787
878.43,1.17,1566
525.997,1.24,1378
645.158,1.37,1102
515.59,1.03,1622
197.572,0.81,1102
66.8624,0.54,410
332.648,1.16,1393
223.465,1.46,1200
216.056,0.89,347
27.5024,0.68,871
