semi_major_axis,temperature
0.11312557679914084,1102
0.2573,470
0.0249,2155
0.1291,1061
0.425,431
0.02778,1838
0.11312557679914084,1102
0.02289,1102
0.045,943
0.0379,1271
0.03359,1366
0.1208,377
0.09564,1102
0.3569,1102
0.0701,1371
0.11312557679914084,1102
0.37,1102
0.11312557679914084,1102
0.1047,354
0.047,1616
0.02949,714
0.02996,1028
0.11312557679914084,1102
0.0538,1750
0.02065,872
0.047,1616
0.1656,495
0.1028,1102
0.1528,1027
0.0586,1102
0.0272,939
0.0304,553
0.073,1100
0.0238,2166
0.195,1102
0.11312557679914084,1102
0.201,435
0.11312557679914084,1102
0.0407,963
0.11312557679914084,1102
0.11312557679914084,1102
0.036,1750
0.05042,1168
0.1536,886
0.0565,1309
0.02591,1570
0.071,957
0.0377,384
0.11312557679914084,1102
0.1013,1012
0.2109,499
0.143,1102
0.04271,1488
0.0542,1025
0.11312557679914084,1102
0.03379,742
0.05064,1278
0.3046,584
0.11312557679914084,1102
0.11312557679914084,1102
0.0308,1102
0.142,543
0.0443,1586
0.0944,701
0.05893,1102
0.249,684
0.04131,1253
0.06112,1128
0.03607,828
0.0486,416
0.0892,1166
0.327,636
0.18422,550
0.11312557679914084,1102
0.0208,998
0.02332,1418
0.11312557679914084,613
0.0482,1509
0.11312557679914084,1102
0.3554,417
0.11312557679914084,1102
0.2163,489
0.0272,837
0.0795,837
0.11312557679914084,1102
0.0792,1026
0.2014,305
0.0758,1299
0.035,1345
0.085,759
0.0471,885
0.0672,1352
0.05222,1570
0.847,1102
0.0907,1153
0.1538,420
0.15224,523
0.1097,1228
0.051,1102
0.114,1040
0.09,1074
0.0781,1078
0.0648,1102
0.05263,624
0.1083,805
0.04294,1237
0.058,1448
0.641,1102
0.02498,1834
0.05,1102
0.0291,831
0.04823,1074
0.1515,718
0.073,1180
0.05046,1102
0.0986,1185
0.751,352
0.051,1102
0.065,811
0.051,1700
0.0603,1102
1.4,125
0.0232,2056
0.0662,694
0.11312557679914084,1102
0.11312557679914084,1102
0.091,1100
0.14,1102
0.5516,400
0.0475,1471
0.04667,1324
0.11312557679914084,1102
0.11312557679914084,1102
0.408,500
0.676,403
0.11312557679914084,1000
0.0964,905
0.076,1198
0.052,565
0.04,1102
0.1463,523
0.04145,1431
0.0461,1626
0.11312557679914084,1102
0.05036,1294
0.04515,835
0.145,641
0.0731,650
0.0657,651
0.05741,1102
0.213,475
0.04944,1003
0.0653,782
0.18041,501
0.128,917
0.04871,1091
0.048,1102
0.0544,1102
0.0458,1431
0.132,588
0.173,1102
0.01589,773
0.10207,638
0.11312557679914084,1102
0.098,633
0.328,415
0.03199,2037
0.04269,853
0.11312557679914084,1102
0.0994,1102
0.04749,557
0.305,676
0.05714,1102
0.0752,1102
0.11312557679914084,1102
0.0491,1102
0.0592,690
0.0943,493
0.332,441
0.0486,1586
0.04461,1102
0.08377,1173
2.026,206
0.11312557679914084,1102
0.0434,2015
0.812,279
0.313,688
0.1275,470
0.1546,859
0.11312557679914084,1102
0.249,513
0.01714,696
0.0611,1659
0.03261,1102
0.02288,1328
0.11312557679914084,1102
0.0236,1357
0.137,638
0.056,1070
0.11312557679914084,1102
0.11312557679914084,1102
0.02933,709
0.0474,1513
1.883,134
0.11312557679914084,1102
0.173,615
0.371,306
0.01189,1617
