Planet_Name,Planet_Mass_Earth,Equilibrium_Temperature,prediction,orb_id,cluster_id
TOI-674 b,23.6,635,1,637,1270
HIP 94235 b,379.0,1060,1,1062,2120
HATS-8 b,43.86054,1324,0,1326,2648
NGTS-9 b,921.707,1448,0,1450,2896
NGTS-2 b,235.1942,1468,0,1470,2936
TOI-2803 A b,309.8827,1893,0,1895,3786
Kepler-22 b,9.1,279,1,281,558
K2-416 b,1652.70772,447,2,449,894
K2-141 c,8.0,695,1,697,1390
EPIC 220674823 b,8.21,2300,0,2302,4600
Kepler-1704 b,1322.16617,254,2,256,508
TOI-1231 b,15.4,330,1,332,660
HD 191939 c,8.0,600,1,602,1200
TOI-4137 b,457.67291,1570,0,1572,3140
TOI-1295 b,451.31634,2360,0,2362,4720
TOI-2136 b,6.37,395,1,397,790
TOI-1695 b,6.36,698,1,700,1396
TOI-269 b,8.8,531,1,533,1062
TOI-561 c,5.39,800,1,802,1600
Kepler-426 b,108.06,1300,0,1302,2600
WASP-36 b,750.39663,1733,0,1735,3466
Qatar-10 b,233.92288,1955,0,1957,3910
K2-79 b,9.2,1022,1,1024,2044
TOI-480 b,20.8,1199,0,1201,2398
Kepler-107 c,10.0,1378,0,1380,2756
HAT-P-68 b,230.10892,1028,1,1030,2056
Qatar-9 b,378.2177,1134,0,1136,2268
TOI-1107 b,1064.72516,1728,0,1730,3456
Kepler-41 b,177.98,1790,0,1792,3580
TOI-561 b,2.0,2310,0,2312,4620
Qatar-6 b,212.31044,1006,1,1008,2012
TOI-500 b,1.42,1617,0,1619,3234
HD 80653 b,5.72,2463,0,2465,4926
HD 6061 b,10.0,1075,1,1077,2150
K2-3 d,2.2,305,1,307,610
K2-233 b,11.26,1121,1,1123,2242
TOI-1221 b,1112.39942,440,1,442,880
TOI-2088 b,37.0,300,1,302,600
Kepler-103 b,9.8,973,1,975,1946
TOI-5344 b,130.9453,689,1,691,1378
TOI-5205 b,343.0,737,1,739,1474
K2-238 b,273.3338,1587,0,1589,3174
TOI-6016 b,371.85924,1890,0,1892,3780
Kepler-21 b,7.5,2015,0,2017,4030
HATS-18 b,629.14449,2069,0,2071,4138
TOI-270 b,1.58,581,1,583,1162
TOI-1749 b,57.0,831,1,833,1662
HD 110113 b,4.55,1371,0,1373,2742
TOI-1333 b,753.2571,1679,0,1681,3358
WASP-153 b,123.9537,1700,0,1702,3400
Kepler-1654 b,158.915,206,1,208,412
WASP-181 b,95.03117,1186,0,1188,2372
NGTS-27 b,188.47225,1783,0,1785,3566
Kepler-87 c,6.4,403,1,405,806
TOI-3757 b,85.3,759,1,761,1518
WASP-144 b,139.8452,1260,0,1262,2520
WASP-171 b,344.52772,1642,0,1644,3284
TOI-519 b,147.15455,687,1,689,1374
TOI-6383 A b,331.0,745,1,747,1490
TOI-5616 b,624.0,939,1,941,1878
HATS-76 b,835.57088,940,1,942,1880
NGTS-25 b,203.09235,1101,1,1103,2202
HAT-P-16 b,1332.605,1626,2,1628,3252
HD 213885 b,8.83,2128,0,2130,4256
HD 23472 c,3.41,467,1,469,934
LTT 9779 b,29.32,1978,0,1980,3956
K2-32 d,6.7,550,1,552,1100
K2-182 b,20.97667,966,1,968,1932
WASP-19 b,366.77398,2113,0,2115,4226
Kepler-62 e,36.0,270,1,272,540
TOI-663 b,4.45,674,1,676,1348
TOI-2587 A b,69.28659,1445,0,1447,2890
TOI-4087 b,232.01474,1458,0,1460,2916
HD 110067 d,8.52,602,1,604,1204
K2-100 b,21.8,1841,0,1843,3682
TOI-1899 b,212.94503,378,1,380,756
EPIC 220674823 c,8.9,805,1,807,1610
TOI-421 b,6.7,922,1,924,1844
WASP-81 b,231.69807,1623,0,1625,3246
HAT-P-45 b,283.492,1652,0,1654,3304
EPIC 246851721 b,953.49,1401,0,1403,2802
TOI-150.01,797.7533,1404,0,1406,2808
TOI-157 b,375.0394,1588,0,1590,3176
TOI-564 b,464.98529,1714,0,1716,3428
GJ 1132 b,1.83705,584,1,586,1168
TOI-836 c,9.6,665,1,667,1330
LP 714-47 b,30.8,700,1,702,1400
HD 332231 b,74.1,798,1,800,1596
WASP-42 b,167.49641,1021,1,1023,2042
TOI-1751 b,19.5,652,1,654,1304
GJ 3473 b,1.86,773,1,775,1546
