Planet_Name,Orbital_Eccentricity,Equilibrium_Temperature,Orbit_Type,orb_id
TOI-674 b,0.0,635,Circular/Stable,637
HIP 94235 b,0.32,1060,Highly Eccentric,1062
HATS-8 b,0.376,1324,Highly Eccentric,1326
NGTS-9 b,0.06,1448,Circular/Stable,1450
NGTS-2 b,0.0,1468,Circular/Stable,1470
TOI-2803 A b,0.0,1893,Circular/Stable,1895
Kepler-22 b,0.72,279,Highly Eccentric,281
K2-416 b,0.09342613987473893,447,Circular/Stable,449
K2-141 c,0.092,695,Circular/Stable,697
EPIC 220674823 b,0.0,2300,Circular/Stable,2302
Kepler-1704 b,0.92,254,Highly Eccentric,256
TOI-1231 b,0.087,330,Circular/Stable,332
HD 191939 c,0.034,600,Circular/Stable,602
TOI-4137 b,0.0,1570,Circular/Stable,1572
TOI-1295 b,0.024,2360,Circular/Stable,2362
TOI-2136 b,0.0,395,Circular/Stable,397
TOI-1695 b,0.097,698,Circular/Stable,700
TOI-269 b,0.425,531,Highly Eccentric,533
TOI-561 c,0.03,800,Circular/Stable,802
Kepler-426 b,0.18,1300,Circular/Stable,1302
WASP-36 b,0.09342613987473893,1733,Circular/Stable,1735
Qatar-10 b,0.0,1955,Circular/Stable,1957
K2-79 b,0.23,1022,Circular/Stable,1024
TOI-480 b,0.0,1199,Circular/Stable,1201
Kepler-107 c,0.08,1378,Circular/Stable,1380
HAT-P-68 b,0.041,1028,Circular/Stable,1030
Qatar-9 b,0.0,1134,Circular/Stable,1136
TOI-1107 b,0.025,1728,Circular/Stable,1730
Kepler-41 b,0.0,1790,Circular/Stable,1792
TOI-561 b,0.0,2310,Circular/Stable,2312
Qatar-6 b,0.0,1006,Circular/Stable,1008
TOI-500 b,0.063,1617,Circular/Stable,1619
HD 80653 b,0.0,2463,Circular/Stable,2465
HD 6061 b,0.0,1075,Circular/Stable,1077
K2-3 d,0.091,305,Circular/Stable,307
K2-233 b,0.079,1121,Circular/Stable,1123
TOI-1221 b,0.21,440,Circular/Stable,442
TOI-2088 b,0.0,300,Circular/Stable,302
Kepler-103 b,0.093,973,Circular/Stable,975
TOI-5344 b,0.054,689,Circular/Stable,691
TOI-5205 b,0.02,737,Circular/Stable,739
K2-238 b,0.0,1587,Circular/Stable,1589
TOI-6016 b,0.0,1890,Circular/Stable,1892
Kepler-21 b,0.0,2015,Circular/Stable,2017
HATS-18 b,0.09342613987473893,2069,Circular/Stable,2071
TOI-270 b,0.034,581,Circular/Stable,583
TOI-1749 b,0.14,831,Circular/Stable,833
HD 110113 b,0.093,1371,Circular/Stable,1373
TOI-1333 b,0.073,1679,Circular/Stable,1681
WASP-153 b,0.009,1700,Circular/Stable,1702
Kepler-1654 b,0.26,206,Circular/Stable,208
WASP-181 b,0.09342613987473893,1186,Circular/Stable,1188
NGTS-27 b,0.0,1783,Circular/Stable,1785
Kepler-87 c,0.039,403,Circular/Stable,405
TOI-3757 b,0.14,759,Circular/Stable,761
WASP-144 b,0.0,1260,Circular/Stable,1262
WASP-171 b,0.0,1642,Circular/Stable,1644
TOI-519 b,0.33,687,Highly Eccentric,689
TOI-6383 A b,0.05,745,Circular/Stable,747
TOI-5616 b,0.0,939,Circular/Stable,941
HATS-76 b,0.062,940,Circular/Stable,942
NGTS-25 b,0.0,1101,Circular/Stable,1103
HAT-P-16 b,0.036,1626,Circular/Stable,1628
HD 213885 b,0.0,2128,Circular/Stable,2130
HD 23472 c,0.063,467,Circular/Stable,469
LTT 9779 b,0.0,1978,Circular/Stable,1980
K2-32 d,0.05,550,Circular/Stable,552
K2-182 b,0.071,966,Circular/Stable,968
WASP-19 b,0.0126,2113,Circular/Stable,2115
Kepler-62 e,0.09342613987473893,270,Circular/Stable,272
