Planet_Name,Host_Star,Discovery_Method,Discovery_Year,Discovery_Facility,Reference_Name,Orbital_Period_Days,Orbital_Period_Error_Upper,Orbital_Period_Error_Lower,Semi_Major_Axis_AU,Planet_Radius_Earth,pl_radj,Planet_Mass_Earth,pl_bmassj,pl_bmassprov,Orbital_Eccentricity,pl_insol,Equilibrium_Temperature,UEB_temp,LEB_temp,pl_eqtlim,ttv_flag,st_refname,st_spectype,Star_Temperature_K,Star_UEBTemp,Star_LEBTemp,st_tefflim,Star_Radius_Solar,Star_Mass_Solar,Star_Metallicity,Star_Surface_Gravity,sy_refname,rastr,ra,dec,System_Distance_PC,System_Visual_Magnitude,System_Infrared_Magnitude,Discovery_Date,features,scaled_features,Discovery_Method_Index,Discovery_Facility_Index
GJ 1132 b,GJ 1132,Transit,2015,Cerro Tololo Inter-American Observatory,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,1.62892911,2.9E-7,-3.00E-07,0.0157,1.192,0.106,1.83705,0.00578,Mass,0.0118,19.3,584,11,-8,0,0,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,Unknown,3229,78,-62,0,0.22,0.19,-0.17,5.04,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m50.18s,153.7090696,-47.1549358,12.613,13.68,8.322,1/1/2015,"[1.192,1.83705,3229.0]","[-1.2966344596464798,-0.5761277207865202,-2.651812546513928]",0,32
HD 136352 b,HD 136352,Radial Velocity,2019,La Silla Observatory,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,11.57797,8.0E-5,-1.30E-04,0.0964,1.664,0.148,4.72,0.01485,Mass,0,111.6,905,14,-14,0,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,Unknown,5664,61,-61,0,1.06,0.87,-0.24,4.39,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48.3188174,14.682,5.65,4.159,1/1/2019,"[1.664,4.72,5664.0]","[-1.2108601499827818,-0.5701635414085622,0.33040677144419733]",1,14
K2-292 b,K2-292,Transit,2019,K2,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.114L/abstract target=ref>Luque et al. 2019</a>,16.9841,8.0E-4,-8.00E-04,0.13,2.63,0.235,24.5,0.07709,Mass,0.04,67,795,33,-28,0,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.114L/abstract target=ref>Luque et al. 2019</a>,G3 V,5725,65,-65,0,1.09,1,0.07,4.33,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h41m30.21s,205.3758786,-9.9460704,114.293,9.885,8.407,1/1/2019,"[2.63,24.5,5725.0]","[-1.035313575543942,-0.5292431410908292,0.40511534573390806]",0,2
TOI-1221 b,TOI-1221,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..217M/abstract target=ref>Mann et al. 2023</a>,91.68278,3.2E-4,-4.10E-04,0.387,2.91,0.26,1112.39942,3.5,Mass,0.21,6.06,440,60,-60,0,1,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..217M/abstract target=ref>Mann et al. 2023</a>,Unknown,5592,50,-50,0,1.03,0.93,0.06,4.38,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h11m41.05s,107.9210254,-65.5088568,138.411,10.494,9.036,1/1/2023,"[2.91,1112.39942,5592.0]","[-0.9844305104892058,1.721377676494085,0.24222615916781742]",0,0
K2-3 d,K2-3,Transit,2015,K2,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,44.55603,1.3E-4,-1.20E-04,0.2014,1.458,0.13,2.2,0.00692,Mass,0.091,1.44,305,3,-3,0,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844,61,-63,0,0.55,0.55,-0.157,4.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-1.4551364,44.0727,12.168,8.561,1/1/2015,"[1.458,2.2,3844.0]","[-1.2482955478444804,-0.575376858334785,-1.8986031499865164]",0,2
TOI-157 b,TOI-157,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,2.0845435,2.3E-6,-2.30E-06,0.03138,14.415,1.286,375.0394,1.18,Mass,0,1062,1588,21,-20,0,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,G9 IV,5404,70,-67,0,1.17,0.95,0.24,4.28,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h54m48.35s,73.7014398,-76.6806061,355.683,12.725,10.892,1/1/2020,"[14.415,375.0394,5404.0]","[1.106318287563435,0.1959445522932938,0.011976782668381062]",0,0
HD 260655 c,HD 260655,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,5.70588,7.0E-5,-7.00E-05,0.04749,1.533,0.137,3.09,0.00972,Mass,0.038,16.1,557,3,-3,0,0,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,M0 V,3803,10,-10,0,0.44,0.44,-0.43,5.2,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h37m09.97s,99.2915429,17.5662696,10.0055,9.63,5.862,1/1/2022,"[1.533,3.09,3803.0]","[-1.234666155419105,-0.5735356471981429,-1.9488171097550104]",0,0
TOI-2134 b,TOI-2134,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,9.2292005,6.3E-6,-6.30E-06,0.078,2.69,0.24,9.13,0.02873,Mass,0.06,32,666,8,-8,0,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,K5 V,4580,50,-50,0,0.71,0.74,0.12,4.8,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h07m44.52s,271.9355015,39.0729269,22.6202,8.933,6.091,1/1/2023,"[2.69,9.13,4580.0]","[-1.0244100616036416,-0.5610402367876723,-0.9972013356057443]",0,0
K2-266 e,K2-266,Transit,2018,K2,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,19.482,0.0012,-0.0012,0.1249,2.73,0.244,14.3,0.04499,Mass,0.043,9.58,490,6,-6,0,1,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,Unknown,4285,49,-57,0,0.7,0.69,-0.12,4.58,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h31m44.56s,157.9356855,0.9372782,77.5586,11.625,8.897,1/1/2018,"[2.73,14.3,4285.0]","[-1.0171410523101077,-0.5503446619826834,-1.3584968997936897]",0,2
TOI-1448 b,TOI-1448,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,8.112245,1.8E-5,-1.80E-05,0.0567,2.749,0.245,19.5,0.06135,Mass,0.36,5.45,426,6,-6,0,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,Unknown,3412,28,-32,0,0.38,0.37,0.37,4.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h05m17.76s,316.324003,57.7710946,73.3345,15.678,10.765,1/1/2024,"[2.749,19.5,3412.0]","[-1.013688272895679,-0.5395870238809538,-2.427686823644796]",0,0
