Planet_Name,System_Distance_PC,Equilibrium_Temperature,System_Infrared_Magnitude
Kepler-138 c,66.8624,410,9.506
TIC 139270665 b,189.875,703,8.946
TOI-3819 b,558.141,1633,11.077
HD 136352 c,14.682,677,4.159
HAT-P-68 b,202.152,1028,11.019
HD 136352 d,14.682,431,4.159
TOI-6016 b,364.715,1890,10.224
TOI-1064 b,68.0726,784,8.467
TOI-4438 b,30.0346,435,8.869
TOI-5293 A b,162.229,675,11.639
GJ 1132 b,12.613,584,8.322
TOI-132 b,163.678,1395,9.646
TOI-1295 b,388.227,2360,10.08
TOI-1416 b,55.0135,1517,7.708
TOI-2641 b,344.045,1387,10.325
TOI-4087 b,301.676,1458,10.436
HAT-P-63 b,403.458,1237,11.512
HD 1397 b,79.5702,1228,5.988
NGTS-1 b,218.121,790,11.936
HD 23472 b,39.0341,543,7.207
K2-292 b,114.293,795,8.407
K2-3 b,44.0727,501,8.561
K2-329 b,233.237,650,10.668
TOI-1695 b,45.1309,698,8.818
TOI-2196 b,259.947,1860,10.346
Kepler-849 b,822.134,363,11.527
TOI-2010 b,109.19,400,8.281
HAT-P-25 b,300.384,1182,10.815
HD 202772 A b,161.498,2132,6.959
TOI-2095 c,41.9176,297,8.988
TOI-3364 b,277.899,1264,9.783
TOI-5688 A b,226.318,742,11.959
NGTS-15 b,786.485,1146,12.907
HATS-17 b,400.331,814,10.698
HATS-60 b,486.474,1528,10.988
HATS-75 b,194.964,772,11.584
HD 23472 c,39.0341,467,7.207
TOI-1759 b,40.0654,443,7.93
HATS-76 b,385.689,940,12.812
HD 20329 b,63.6796,2141,7.116
NGTS-9 b,609.128,1448,11.452
TOI-4994 b,329.304,718,10.797
TOI-125 b,111.059,1037,8.995
TOI-4791 b,328.802,1472,10.019
HD 219134 b,6.53127,1015,3.261
TOI-2458 b,112.958,1509,7.891
HATS-72 b,127.589,739,9.764
TOI-169 b,407.84,1715,10.815
NGTS-26 b,1093.69,1331,13.119
HD 73583 b,31.5666,714,6.948
TIC 393818343 b,93.7345,806,8.052
HAT-P-59 b,265.471,1278,10.208
KELT-24 b,96.5173,1391,7.154
TOI-2384 b,191.51,890,11.119
TOI-3912 b,465.992,1512,10.922
HATS-38 b,343.525,1294,10.768
K2-140 b,347.917,962,10.995
TOI-1728 b,60.798,767,8.803001
TOI-1173 b,132.353,868,9.134
HATS-68 b,603.955,1741,10.949
K2-285 e,154.961,501,9.971
TOI-2796 b,350.343,1205,10.936
TOI-4127 b,319.632,605,10.245
Gliese 12 b,12.21,315,7.807
TOI-5205 b,86.4493,737,11.006
TOI-3714 b,112.71,750,10.852
TOI-1266 c,36.0118,354,8.84
TOI-2587 A b,373.675,1445,9.991
HD 260655 b,10.0055,709,5.862
TOI-2120 b,32.1755,384,10.205
K2-285 d,154.961,620,9.971
HD 110113 b,106.307,1371,8.502
TOI-172 b,342.831,1198,9.722
Kepler-553 c,728.525,251,13.064
NGTS-18 b,1096.19,1381,12.87
TOI-2134 c,22.6202,306,6.091
TOI-406.01,31.0597,368,8.848
HD 191939 b,53.6089,880,7.18
TOI-269 b,57.0225,531,10.1
TOI-4137 b,334.993,1570,10.004
TOI-4145 A b,205.387,1074,10.286
TOI-1064 c,68.0726,634,8.467
TOI-257 b,76.9028,1027,6.256
TOI-3261 b,300.141,1722,11.184
TOI-4010 b,177.504,1441,10.157
TOI-406 c,31.0597,584,8.848
K2-419 A b,268.685,377,12.555
K2-3 c,44.0727,372,8.561
TOI-2000 c,175.713,1038,9.303001
TOI-4860 b,80.1423,694,11.175
TOI-181 b,96.2338,895,9.047
TOI-3807 b,421.745,1646,10.617
TOI-2000 b,175.713,1488,9.303001
HIP 116454 b,62.4491,753,8.029
NGTS-16 b,898.168,1177,12.647
TOI-4010 c,177.504,907,10.157
Kepler-138 d,66.8624,345,9.506
KELT-23 A b,126.261,1561,8.904
TOI-3331 A b,217.193,1488,9.914
K2-66 b,513.877,1372,10.609
HD 219134 d,6.53127,410,3.261
TOI-561 c,85.799,800,8.394
HAT-P-9 b,455.203,1540,11.015
TOI-3757 b,181.139,759,11.152
HATS-59 b,642.884,1128,12.238
HD 5278 b,57.5846,943,6.605
TOI-1107 b,281.314,1728,9.205
Kepler-1514 b,397.292,388,10.688
TOI-1420 b,201.918,957,10.119
HATS-69 b,414.537,1296,11.875
K2-27 b,249.645,902,10.704
Kepler-1654 b,568.117,206,11.922
TOI-1260 d,73.5977,499,8.95
HD 191939 d,53.6089,540,7.18
TOI-4010 d,177.504,650,10.157
HATS-62 b,523.067,1237,12.109
KELT-18 b,321.376,2085,9.21
TOI-238 c,80.5407,696,8.598
HAT-P-61 b,338.84,1505,11.141
K2-285 b,154.961,1089,9.971
TOI-2095 b,41.9176,347,8.988
TOI-2364 b,219.614,1091,10.363
TOI-5218 b,377.483,783,12.546
TOI-1231 b,27.6227,330,8.069
TOI-3884 b,43.1448,441,10.24
TOI-622 b,123.297,1388,7.858
HD 136352 b,14.682,905,4.159
HD 95338 b,36.9941,385,6.591
TOI-2207 b,373.345,1259,10.133
TOI-1448 b,73.3345,426,10.765
TOI-3984 A b,108.883,563,11.052
HD 73583 c,31.5666,498,6.948
HATS-65 b,493.32,1634,11.095
EPIC 249893012 d,321.296,752,9.714
TOI-564 b,199.581,1714,9.604
