Planet_Name,System_Distance_PC,Star_Temperature_K,System_Infrared_Magnitude
Kepler-138 c,66.8624,3841.0,9.506
TIC 139270665 b,189.875,5844.0,8.946
TOI-3819 b,558.141,5859.0,11.077
HD 136352 c,14.682,5664.0,4.159
HAT-P-68 b,202.152,4508.0,11.019
HD 136352 d,14.682,5664.0,4.159
TOI-6016 b,364.715,6110.0,10.224
TOI-1064 b,68.0726,4734.0,8.467
TOI-4438 b,30.0346,3422.0,8.869
TOI-5293 A b,162.229,3586.0,11.639
GJ 1132 b,12.613,3229.0,8.322
TOI-132 b,163.678,5397.0,9.646
TOI-1295 b,388.227,6280.0,10.08
TOI-1416 b,55.0135,4884.0,7.708
TOI-2641 b,344.045,6100.0,10.325
TOI-4087 b,301.676,6060.0,10.436
HAT-P-63 b,403.458,5400.0,11.512
HD 1397 b,79.5702,5521.0,5.988
NGTS-1 b,218.121,3916.0,11.936
HD 23472 b,39.0341,4684.0,7.207
K2-292 b,114.293,5725.0,8.407
K2-3 b,44.0727,3844.0,8.561
K2-329 b,233.237,5282.0,10.668
TOI-1695 b,45.1309,3690.0,8.818
TOI-2196 b,259.947,5634.0,10.346
Kepler-849 b,822.134,5950.0,11.527
TOI-2010 b,109.19,5929.0,8.281
HAT-P-25 b,300.384,5519.0,10.815
HD 202772 A b,161.498,6272.0,6.959
TOI-2095 c,41.9176,3759.0,8.988
TOI-3364 b,277.899,5706.0,9.783
TOI-5688 A b,226.318,3713.0,11.959
NGTS-15 b,786.485,5600.0,12.907
HATS-17 b,400.331,5846.0,10.698
HATS-60 b,486.474,5688.0,10.988
HATS-75 b,194.964,3790.4,11.584
HD 23472 c,39.0341,4684.0,7.207
TOI-1759 b,40.0654,4065.0,7.93
HATS-76 b,385.689,4016.0,12.812
HD 20329 b,63.6796,5596.0,7.116
NGTS-9 b,609.128,6330.0,11.452
TOI-4994 b,329.304,5640.0,10.797
TOI-125 b,111.059,5320.0,8.995
TOI-4791 b,328.802,6058.0,10.019
HD 219134 b,6.53127,4699.0,3.261
TOI-2458 b,112.958,6005.0,7.891
HATS-72 b,127.589,4656.1,9.764
TOI-169 b,407.84,5880.0,10.815
NGTS-26 b,1093.69,5550.0,13.119
HD 73583 b,31.5666,4511.0,6.948
TIC 393818343 b,93.7345,5756.0,8.052
HAT-P-59 b,265.471,5678.0,10.208
KELT-24 b,96.5173,6426.0,7.154
TOI-2384 b,191.51,3943.0,11.119
TOI-3912 b,465.992,5725.0,10.922
HATS-38 b,343.525,5732.0,10.768
K2-140 b,347.917,5585.0,10.995
TOI-1728 b,60.798,3980.0,8.803001
TOI-1173 b,132.353,5350.0,9.134
HATS-68 b,603.955,6147.0,10.949
K2-285 e,154.961,4975.0,9.971
TOI-2796 b,350.343,5764.0,10.936
TOI-4127 b,319.632,6096.0,10.245
Gliese 12 b,12.21,3296.0,7.807
TOI-5205 b,86.4493,3430.0,11.006
TOI-3714 b,112.71,3660.0,10.852
TOI-1266 c,36.0118,3618.0,8.84
TOI-2587 A b,373.675,5760.0,9.991
HD 260655 b,10.0055,3803.0,5.862
TOI-2120 b,32.1755,3131.0,10.205
K2-285 d,154.961,4975.0,9.971
HD 110113 b,106.307,5732.0,8.502
TOI-172 b,342.831,5645.0,9.722
Kepler-553 c,728.525,5191.0,13.064
NGTS-18 b,1096.19,5610.0,12.87
TOI-2134 c,22.6202,4580.0,6.091
TOI-406.01,31.0597,3392.0,8.848
HD 191939 b,53.6089,5348.0,7.18
TOI-269 b,57.0225,3514.0,10.1
TOI-4137 b,334.993,6202.0,10.004
TOI-4145 A b,205.387,5281.0,10.286
TOI-1064 c,68.0726,4734.0,8.467
TOI-257 b,76.9028,6095.0,6.256
TOI-3261 b,300.141,5068.0,11.184
TOI-4010 b,177.504,4960.0,10.157
TOI-406 c,31.0597,3392.0,8.848
K2-419 A b,268.685,3711.0,12.555
K2-3 c,44.0727,3844.0,8.561
TOI-2000 c,175.713,5611.0,9.303001
TOI-4860 b,80.1423,3260.0,11.175
TOI-181 b,96.2338,4994.0,9.047
TOI-3807 b,421.745,5772.0,10.617
TOI-2000 b,175.713,5611.0,9.303001
HIP 116454 b,62.4491,5048.0,8.029
NGTS-16 b,898.168,5550.0,12.647
TOI-4010 c,177.504,4960.0,10.157
Kepler-138 d,66.8624,3841.0,9.506
KELT-23 A b,126.261,5899.0,8.904
TOI-3331 A b,217.193,5609.0,9.914
