Discovery_Method,Discovery_Facility,Host_Star,Discovery_Year
Transit,Kepler,Kepler-138,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 139270665,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3819,2023
Radial Velocity,La Silla Observatory,HD 136352,2019
Transit,HATNet,HAT-P-68,2020
Radial Velocity,La Silla Observatory,HD 136352,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6016,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1064,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4438,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5293 A,2023
Transit,Cerro Tololo Inter-American Observatory,GJ 1132,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-132,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1295,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1416,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2641,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4087,2023
Transit,HATNet,HAT-P-63,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 1397,2018
Transit,Next-Generation Transit Survey (NGTS),NGTS-1,2017
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 23472,2019
Transit,K2,K2-292,2019
Transit,K2,K2-3,2015
Transit,K2,K2-329,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1695,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2196,2022
Transit,Kepler,Kepler-849,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2010,2023
Transit,HATNet,HAT-P-25,2010
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 202772 A,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2095,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3364,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5688 A,2024
Transit,Next-Generation Transit Survey (NGTS),NGTS-15,2021
Transit,HATSouth,HATS-17,2016
Transit,HATSouth,HATS-60,2018
Transit,HATSouth,HATS-75,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 23472,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1759,2022
Transit,HATSouth,HATS-76,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 20329,2022
