Discovery_Method,Discovery_Facility,Host_Star,Discovery_Year,orb_id,disc_id
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-674,2021-01-01,637,1907
Transit,Transiting Exoplanet Survey Satellite (TESS),HIP 94235,2022-01-01,1062,3182
Transit,HATSouth,HATS-8,2015-01-01,1326,3974
Transit,Next-Generation Transit Survey (NGTS),NGTS-9,2019-01-01,1450,4346
Transit,Next-Generation Transit Survey (NGTS),NGTS-2,2018-01-01,1470,4406
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2803 A,2023-01-01,1895,5681
Transit,Kepler,Kepler-22,2011-01-01,281,839
Transit,K2,K2-416,2023-01-01,449,1343
Transit,K2,K2-141,2018-01-01,697,2087
Transit,K2,EPIC 220674823,2016-01-01,2302,6902
Transit,Kepler,Kepler-1704,2013-01-01,256,764
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1231,2021-01-01,332,992
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 191939,2020-01-01,602,1802
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4137,2022-01-01,1572,4712
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1295,2024-01-01,2362,7082
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2136,2022-01-01,397,1187
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1695,2022-01-01,700,2096
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-269,2021-01-01,533,1595
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-561,2020-01-01,802,2402
Transit,Kepler,Kepler-426,2014-01-01,1302,3902
Transit,SuperWASP,WASP-36,2011-01-01,1735,5201
Transit,Qatar,Qatar-10,2019-01-01,1957,5867
Transit,K2,K2-79,2016-01-01,1024,3068
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-480,2024-01-01,1201,3599
Transit,Kepler,Kepler-107,2014-01-01,1380,4136
Transit,HATNet,HAT-P-68,2020-01-01,1030,3086
Transit,Qatar,Qatar-9,2019-01-01,1136,3404
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1107,2022-01-01,1730,5186
Transit,Kepler,Kepler-41,2011-01-01,1792,5372
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-561,2020-01-01,2312,6932
Transit,Qatar,Qatar-6,2017-01-01,1008,3020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-500,2022-01-01,1619,4853
Transit,K2,HD 80653,2020-01-01,2465,7391
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 6061,2023-01-01,1077,3227
Transit,K2,K2-3,2015-01-01,307,917
Transit,K2,K2-233,2018-01-01,1123,3365
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1221,2023-01-01,442,1322
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2088,2024-01-01,302,902
Transit,Kepler,Kepler-103,2014-01-01,975,2921
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5344,2023-01-01,691,2069
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5205,2023-01-01,739,2213
Transit,K2,K2-238,2018-01-01,1589,4763
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6016,2024-01-01,1892,5672
Transit,Kepler,Kepler-21,2012-01-01,2017,6047
Transit,Multiple Observatories,HATS-18,2016-01-01,2071,6209
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-270,2019-01-01,583,1745
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1749,2021-01-01,833,2495
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 110113,2021-01-01,1373,4115
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1333,2021-01-01,1681,5039
Transit,SuperWASP,WASP-153,2017-01-01,1702,5102
Transit,Kepler,Kepler-1654,2018-01-01,208,620
Transit,SuperWASP,WASP-181,2019-01-01,1188,3560
Transit,Transiting Exoplanet Survey Satellite (TESS),NGTS-27,2024-01-01,1785,5351
Transit,Kepler,Kepler-87,2013-01-01,405,1211
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3757,2022-01-01,761,2279
Transit,SuperWASP-South,WASP-144,2018-01-01,1262,3782
Transit,WASP-South,WASP-171,2019-01-01,1644,4928
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-519,2021-01-01,689,2063
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6383 A,2024-01-01,747,2237
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5616,2024-01-01,941,2819
Transit,HATSouth,HATS-76,2021-01-01,942,2822
Transit,Next-Generation Transit Survey (NGTS),NGTS-25,2022-01-01,1103,3305
Transit,HATNet,HAT-P-16,2010-01-01,1628,4880
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 213885,2019-01-01,2130,6386
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 23472,2019-01-01,469,1403
Transit,Transiting Exoplanet Survey Satellite (TESS),LTT 9779,2020-01-01,1980,5936
Transit,K2,K2-32,2016-01-01,552,1652
Transit,K2,K2-182,2018-01-01,968,2900
Transit,SuperWASP,WASP-19,2009-01-01,2115,6341
Transit,Kepler,Kepler-62,2013-01-01,272,812
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-663,2024-01-01,676,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2587 A,2023-01-01,1447,4337
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4087,2023-01-01,1460,4376
Transit,Multiple Observatories,HD 110067,2023-01-01,604,1808
Transit,K2,K2-100,2016-01-01,1843,5525
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1899,2020-01-01,380,1136
Transit,K2,EPIC 220674823,2016-01-01,807,2417
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-421,2020-01-01,924,2768
Transit,Multiple Facilities,WASP-81,2017-01-01,1625,4871
Transit,HATNet,HAT-P-45,2014-01-01,1654,4958
Transit,K2,EPIC 246851721,2018-01-01,1403,4205
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-150,2019-01-01,1406,4214
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-157,2020-01-01,1590,4766
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-564,2020-01-01,1716,5144
Transit,Cerro Tololo Inter-American Observatory,GJ 1132,2015-01-01,586,1754
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-836,2023-01-01,667,1997
Transit,Transiting Exoplanet Survey Satellite (TESS),LP 714-47,2020-01-01,702,2102
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 332231,2020-01-01,800,2396
Transit,SuperWASP,WASP-42,2012-01-01,1023,3065
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1751,2024-01-01,654,1958
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 3473,2020-01-01,775,2321
Transit,SuperWASP,WASP-123,2016-01-01,1522,4562
Transit,Transiting Exoplanet Survey Satellite (TESS),LHS 1478,2021-01-01,597,1787
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4145 A,2023-01-01,1076,3224
Transit,K2,HD 106315,2017-01-01,1155,3461
Transit,Kepler,Kepler-1876,2021-01-01,1301,3899
Transit,CoRoT,CoRoT-25,2013-01-01,1332,3992
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2818,2023-01-01,1378,4130
Transit,Kepler,Kepler-1661,2020-01-01,245,731
Radial Velocity,Las Campanas Observatory,HD 95338,2020-01-01,387,1157
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3629,2022-01-01,692,2072
Transit,HATSouth,HATS-17,2016-01-01,816,2444
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2000,2023-01-01,1040,3116
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2529,2024-01-01,638,1910
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2128,2024-01-01,783,2345
Transit,HATNet,HAT-P-54,2015-01-01,820,2456
Radial Velocity,W. M. Keck Observatory,GJ 414 A,2021-01-01,127,377
Transit,K2,K2-292,2019-01-01,797,2387
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1269,2024-01-01,1007,3017
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2524,2023-01-01,1102,3302
Transit,HATSouth,HATS-55,2019-01-01,1369,4103
