Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
TOI-674 b,0.025,635,Not Habitable
HIP 94235 b,0.0787,1060,Not Habitable
HATS-8 b,0.04667,1324,Not Habitable
NGTS-9 b,0.058,1448,Not Habitable
NGTS-2 b,0.063,1468,Not Habitable
TOI-2803 A b,0.03185,1893,Not Habitable
Kepler-22 b,0.812,279,Potentially Habitable
K2-416 b,0.088,447,Not Habitable
K2-141 c,0.0683,695,Not Habitable
EPIC 220674823 b,0.01326,2300,Not Habitable
Kepler-1704 b,2.027,254,Not Habitable
TOI-1231 b,0.1288,330,Not Habitable
HD 191939 c,0.1752,600,Not Habitable
TOI-4137 b,0.05222,1570,Not Habitable
TOI-1295 b,0.047,2360,Not Habitable
TOI-2136 b,0.057,395,Not Habitable
TOI-1695 b,0.033548,698,Not Habitable
TOI-269 b,0.0345,531,Not Habitable
TOI-561 c,0.0884,800,Not Habitable
Kepler-426 b,0.0414,1300,Not Habitable
WASP-36 b,0.02677,1733,Not Habitable
Qatar-10 b,0.0286,1955,Not Habitable
K2-79 b,0.0988,1022,Not Habitable
TOI-480 b,0.077,1199,Not Habitable
Kepler-107 c,0.06064,1378,Not Habitable
HAT-P-68 b,0.02996,1028,Not Habitable
Qatar-9 b,0.0234,1134,Not Habitable
TOI-1107 b,0.0561,1728,Not Habitable
Kepler-41 b,0.03101,1790,Not Habitable
TOI-561 b,0.0106,2310,Not Habitable
Qatar-6 b,0.0423,1006,Not Habitable
TOI-500 b,0.01189,1617,Not Habitable
HD 80653 b,0.01661,2463,Not Habitable
HD 6061 b,0.06,1075,Not Habitable
K2-3 d,0.2014,305,Not Habitable
K2-233 b,0.03308,1121,Not Habitable
TOI-1221 b,0.387,440,Not Habitable
TOI-2088 b,0.472,300,Potentially Habitable
Kepler-103 b,0.13223,973,Not Habitable
TOI-5344 b,0.04041,689,Not Habitable
TOI-5205 b,0.0199,737,Not Habitable
K2-238 b,0.046,1587,Not Habitable
TOI-6016 b,0.055,1890,Not Habitable
Kepler-21 b,0.0434,2015,Not Habitable
HATS-18 b,0.0174,2069,Not Habitable
TOI-270 b,0.03197,581,Not Habitable
TOI-1749 b,0.0291,831,Not Habitable
HD 110113 b,0.035,1371,Not Habitable
TOI-1333 b,0.0626,1679,Not Habitable
WASP-153 b,0.048,1700,Not Habitable
Kepler-1654 b,2.026,206,Not Habitable
WASP-181 b,0.05427,1186,Not Habitable
NGTS-27 b,0.0446,1783,Not Habitable
Kepler-87 c,0.676,403,Not Habitable
