Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
GJ 1132 b,0.0157,584,Not Habitable
HD 136352 b,0.0964,905,Not Habitable
K2-292 b,0.13,795,Not Habitable
TOI-1221 b,0.387,440,Not Habitable
K2-3 d,0.2014,305,Not Habitable
TOI-157 b,0.03138,1588,Not Habitable
HD 260655 c,0.04749,557,Not Habitable
TOI-2134 b,0.078,666,Not Habitable
K2-266 e,0.1249,490,Not Habitable
TOI-1448 b,0.0567,426,Not Habitable
TOI-2803 A b,0.03185,1893,Not Habitable
HATS-74 A b,0.02384,895,Not Habitable
TOI-6016 b,0.055,1890,Not Habitable
TOI-2818 b,0.0493,1376,Not Habitable
TOI-4010 d,0.113,650,Not Habitable
LTT 3780 c,0.0757,359,Not Habitable
TOI-561 c,0.0884,800,Not Habitable
HATS-69 b,0.03211,1296,Not Habitable
HAT-P-58 b,0.04994,1622,Not Habitable
TOI-3984 A b,0.041,563,Not Habitable
TOI-4463 A b,0.04036,1395,Not Habitable
TOI-406.01,0.0809,368,Not Habitable
K2-266 d,0.1035,538,Not Habitable
TOI-1420 b,0.071,957,Not Habitable
TOI-2567 b,0.0672,1352,Not Habitable
HD 191939 d,0.2132,540,Not Habitable
HD 95338 b,0.262,385,Not Habitable
TOI-2583 A b,0.0571,1456,Not Habitable
K2-3 c,0.1357,372,Not Habitable
TOI-2207 b,0.0854,1259,Not Habitable
TOI-561 d,0.158,598,Not Habitable
HD 136352 d,0.425,431,Not Habitable
TOI-3629 b,0.043,690,Not Habitable
HD 1397 b,0.1097,1228,Not Habitable
KELT-24 b,0.0665,1391,Not Habitable
NGTS-8 b,0.035,1345,Not Habitable
HATS-49 b,0.04515,835,Not Habitable
TOI-2458 b,0.0482,1509,Not Habitable
Kepler-1514 b,0.753,388,Not Habitable
TIC 139270665 b,0.163,703,Not Habitable
TOI-1266 b,0.0728,425,Not Habitable
TOI-181 b,0.0539,895,Not Habitable
HAT-P-68 b,0.02996,1028,Not Habitable
NGTS-18 b,0.0448,1381,Not Habitable
HAT-P-63 b,0.04294,1237,Not Habitable
HATS-66 b,0.04714,1998,Not Habitable
HD 73583 b,0.0604,714,Not Habitable
TOI-1260 d,0.1116,499,Not Habitable
TOI-3976 A b,0.0743,1295,Not Habitable
HATS-37 A b,0.04913,1085,Not Habitable
TOI-5293 A b,0.034,675,Not Habitable
NGTS-15 b,0.0441,1146,Not Habitable
TOI-4010 c,0.058,907,Not Habitable
TOI-1064 b,0.06152,784,Not Habitable
NGTS-13 b,0.0549,1605,Not Habitable
TOI-2134 c,0.371,306,Not Habitable
HATS-59 b,0.06112,1128,Not Habitable
TOI-1173 b,0.0696,868,Not Habitable
TOI-561 b,0.0106,2310,Not Habitable
TOI-3331 A b,0.03144,1488,Not Habitable
TOI-6130 b,0.036,1750,Not Habitable
HD 219134 d,0.237,410,Not Habitable
TOI-1107 b,0.0561,1728,Not Habitable
TOI-1231 b,0.1288,330,Not Habitable
TOI-125 c,0.0814,828,Not Habitable
TOI-1937 A b,0.01932,2097,Not Habitable
TOI-3688 A b,0.0456,1534,Not Habitable
HD 207496 b,0.0629,743,Not Habitable
HAT-P-61 b,0.0301,1505,Not Habitable
HATS-76 b,0.02658,940,Not Habitable
TIC 393818343 b,0.1291,806,Not Habitable
TOI-4791 b,0.0555,1472,Not Habitable
TOI-561 e,0.328,415,Not Habitable
HATS-75 b,0.032742,772,Not Habitable
TOI-1695 b,0.033548,698,Not Habitable
K2-216 b,0.028,1103,Not Habitable
NGTS-26 b,0.049,1331,Not Habitable
TOI-125 b,0.05186,1037,Not Habitable
TOI-3364 b,0.0675,1264,Not Habitable
TOI-4201 b,0.04,725,Not Habitable
Kepler-849 b,1.137,363,Not Habitable
HATS-17 b,0.1308,814,Not Habitable
HATS-72 b,0.066517,739,Not Habitable
TOI-2095 b,0.101,347,Not Habitable
PH2 b,0.833,295,Potentially Habitable
NGTS-12 b,0.0757,1257,Not Habitable
LTT 3780 b,0.01195,903,Not Habitable
Kepler-1654 b,2.026,206,Not Habitable
TOI-169 b,0.03524,1715,Not Habitable
TOI-5616 b,0.0272,939,Not Habitable
KPS-1 b,0.0269,1459,Not Habitable
TOI-1295 b,0.047,2360,Not Habitable
K2-25 b,0.0287,494,Not Habitable
KELT-23 A b,0.03302,1561,Not Habitable
Kepler-1704 b,2.027,254,Not Habitable
HATS-63 b,0.04026,1398,Not Habitable
NGTS-27 b,0.0446,1783,Not Habitable
TOI-1452 b,0.061,326,Not Habitable
K2-27 b,0.06702,902,Not Habitable
K2-66 b,0.05983,1372,Not Habitable
TOI-3807 b,0.0421,1646,Not Habitable
TOI-2236 b,0.05009,1688,Not Habitable
TOI-3757 b,0.03845,759,Not Habitable
Gliese 12 b,0.0668,315,Not Habitable
TOI-2010 b,0.5516,400,Not Habitable
HD 191939 c,0.1752,600,Not Habitable
NGTS-1 b,0.0326,790,Not Habitable
TOI-3819 b,0.04611,1633,Not Habitable
HATS-77 b,0.03607,828,Not Habitable
