Planet_Name,Orbital_Eccentricity,Equilibrium_Temperature,Orbit_Type
GJ 1132 b,0.0118,584,Circular/Stable
HD 136352 b,0,905,Circular/Stable
K2-292 b,0.04,795,Circular/Stable
TOI-1221 b,0.21,440,Circular/Stable
K2-3 d,0.091,305,Circular/Stable
TOI-157 b,0,1588,Circular/Stable
HD 260655 c,0.038,557,Circular/Stable
TOI-2134 b,0.06,666,Circular/Stable
K2-266 e,0.043,490,Circular/Stable
TOI-1448 b,0.36,426,Highly Eccentric
TOI-2803 A b,0,1893,Circular/Stable
HATS-74 A b,0.044,895,Circular/Stable
TOI-6016 b,0,1890,Circular/Stable
TOI-2818 b,0,1376,Circular/Stable
TOI-4010 d,0.07,650,Circular/Stable
LTT 3780 c,0.024,359,Circular/Stable
TOI-561 c,0.03,800,Circular/Stable
HATS-69 b,0.519,1296,Highly Eccentric
HAT-P-58 b,0.073,1622,Circular/Stable
TOI-3984 A b,0.23,563,Circular/Stable
TOI-4463 A b,0,1395,Circular/Stable
TOI-406.01,0.056,368,Circular/Stable
K2-266 d,0.047,538,Circular/Stable
TOI-1420 b,0.17,957,Circular/Stable
TOI-2567 b,0,1352,Circular/Stable
HD 191939 d,0.031,540,Circular/Stable
HD 95338 b,0.197,385,Circular/Stable
TOI-2583 A b,0,1456,Circular/Stable
K2-3 c,0.048,372,Circular/Stable
TOI-2207 b,0.174,1259,Circular/Stable
TOI-561 d,0.122,598,Circular/Stable
HD 136352 d,0,431,Circular/Stable
TOI-3629 b,0.05,690,Circular/Stable
HD 1397 b,0.251,1228,Circular/Stable
KELT-24 b,0.0319,1391,Circular/Stable
NGTS-8 b,0.01,1345,Circular/Stable
HATS-49 b,0.071,835,Circular/Stable
TOI-2458 b,0.087,1509,Circular/Stable
Kepler-1514 b,0.401,388,Highly Eccentric
TIC 139270665 b,0.105,703,Circular/Stable
TOI-1266 b,0.22,425,Circular/Stable
TOI-181 b,0.1543,895,Circular/Stable
HAT-P-68 b,0.041,1028,Circular/Stable
