Planet_Mass_Earth,Equilibrium_Temperature,Planet_Radius_Earth,Category,Category_Index,features_cat,rawPrediction,probability,prediction
23.6,635,5.25,Gas Giant,0.0,"[23.6,635.0,5.25]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
379.0,1060,3.0,Gas Giant,0.0,"[379.0,1060.0,3.0]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
43.86054,1324,9.785,Gas Giant,0.0,"[43.86054,1324.0,9.785]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
921.707,1448,11.994,Gas Giant,0.0,"[921.707,1448.0,11.994]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
235.1942,1468,17.878,Gas Giant,0.0,"[235.1942,1468.0,17.878]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
309.8827,1893,18.114,Gas Giant,0.0,"[309.8827,1893.0,18.114]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
9.1,279,2.1,Rocky Planet,1.0,"[9.1,279.0,2.1]","[1.0,9.0]","[0.1,0.9]",1.0
1652.70772,447,2.66,Gas Giant,0.0,"[1652.70772,447.0,2.66]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
8.0,695,7.0,Rocky Planet,1.0,"[8.0,695.0,7.0]","[0.0,10.0]","[0.0,1.0]",1.0
8.21,2300,1.725,Rocky Planet,1.0,"[8.21,2300.0,1.725]","[0.0,10.0]","[0.0,1.0]",1.0
1322.16617,254,11.949,Gas Giant,0.0,"[1322.16617,254.0,11.949]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
15.4,330,3.65,Gas Giant,0.0,"[15.4,330.0,3.65]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
8.0,600,3.195,Rocky Planet,1.0,"[8.0,600.0,3.195]","[0.09090909090909091,9.90909090909091]","[0.009090909090909089,0.9909090909090909]",1.0
