Star_Temperature_K,Star_Radius_Solar,Star_Mass_Solar
3841.0,0.54,0.54
5844.0,1.02,1.03
5859.0,1.54,1.24
5664.0,1.06,0.87
4508.0,0.67,0.68
5664.0,1.06,0.87
6110.0,1.51,1.31
4734.0,0.73,0.75
3422.0,0.37,0.37
3586.0,0.52,0.54
3229.0,0.22,0.19
5397.0,0.9,0.97
6280.0,1.7,1.38
4884.0,0.79,0.8
6100.0,1.34,1.16
6060.0,1.11,1.18
5400.0,0.97,0.93
5521.0,2.34,1.32
3916.0,0.57,0.62
4684.0,0.71,0.67
5725.0,1.09,1.0
3844.0,0.55,0.55
5282.0,0.82,0.9
3690.0,0.52,0.51
5634.0,1.04,1.03
5950.0,1.82,1.26
5929.0,1.08,1.11
5519.0,0.92,1.01
6272.0,2.59,1.72
3759.0,0.44,0.44
5706.0,1.42,1.19
3713.0,0.57,0.6
5600.0,0.95,0.99
5846.0,1.09,1.13
5688.0,1.46,1.1
3790.4,0.58,0.6
4684.0,0.71,0.67
4065.0,0.6,0.61
4016.0,0.63,0.66
5596.0,1.13,0.9
6330.0,1.38,1.34
5640.0,1.05,1.0
5320.0,0.85,0.86
6058.0,1.41,1.24
4699.0,0.78,0.81
6005.0,1.31,1.05
4656.1,0.72,0.73
5880.0,1.29,1.15
5550.0,1.16,0.96
4511.0,0.65,0.73
5756.0,1.09,1.08
5678.0,1.1,1.01
6426.0,1.34,1.27
3943.0,0.61,0.64
5725.0,1.39,1.09
5732.0,1.1,0.89
5585.0,1.06,0.96
3980.0,0.62,0.65
5350.0,0.93,0.91
6147.0,1.75,1.35
4975.0,0.79,0.83
5764.0,1.07,1.06
6096.0,1.29,1.23
3296.0,0.26,0.24
3430.0,0.39,0.39
3660.0,0.51,0.53
3618.0,0.44,0.43
5760.0,1.73,1.15
3803.0,0.44,0.44
3131.0,0.24,0.21
4975.0,0.79,0.83
5732.0,0.97,1.0
5645.0,1.78,1.13
5191.0,0.9,0.89
5610.0,1.39,1.0
4580.0,0.71,0.74
3392.0,0.41,0.41
5348.0,0.94,0.81
3514.0,0.4,0.39
6202.0,1.44,1.31
5281.0,0.86,0.91
4734.0,0.73,0.75
6095.0,1.87,1.41
5068.0,0.85,0.86
4960.0,0.83,0.88
3392.0,0.41,0.41
3711.0,0.54,0.56
3844.0,0.55,0.55
5611.0,1.13,1.08
3260.0,0.36,0.34
4994.0,0.74,0.82
5772.0,1.47,1.18
5611.0,1.13,1.08
5048.0,0.76,0.8
5550.0,1.21,1.0
4960.0,0.83,0.88
3841.0,0.54,0.54
5899.0,1.0,0.94
5609.0,0.95,1.02
5887.0,1.67,1.11
4699.0,0.78,0.81
5372.0,0.84,0.81
6350.0,1.34,1.28
3913.0,0.62,0.64
5670.0,1.04,1.04
6203.0,1.19,1.13
6311.0,1.81,1.35
6145.0,1.29,1.2
5510.0,0.92,0.99
5137.0,0.88,0.89
5248.0,0.89,0.87
5597.0,1.18,1.01
4227.0,0.67,0.68
5348.0,0.94,0.81
4960.0,0.83,0.88
5416.0,0.93,0.9
6670.0,1.91,1.52
5059.0,0.73,0.79
5587.0,0.94,1.0
4975.0,0.79,0.83
3759.0,0.44,0.44
5306.0,0.89,0.95
4230.0,0.71,0.74
3553.0,0.48,0.48
3180.0,0.3,0.3
6400.0,1.42,1.31
5664.0,1.06,0.87
5212.0,0.87,0.83
6101.0,1.56,1.3
3412.0,0.38,0.37
3476.0,0.47,0.49
